MCC,DESCRIPTION,REQUIRED NAME IN AUTHORIZATION REQUEST / CLEARING RECORD,DESCRIPTION_UZ,DESCRIPTION_RU
3521,ROYAL LAHAINA RESORTS,,Qirol Lahaina kurortlari,Royal Lahaina Resorts
3522,TOKYO HOTEL,,Tokio mehmonxonasi,Токийский отель
3523,PENINSULA HOTEL,,Yarim orol,Полуостров. Отель
3524,WELCOMGROUP HOTELS,,Mehmonxonalarni kutib olish,Welcomgroup Hotels
3525,DUNFEY HOTELS,,Dunfey mehmonxonalari,Dunfey Hotels
3526,PRINCE HOTELS,,Shahzoda mehmonxonalari,Принц отели
3527,DOWNTOWNER-PASSPORT HOTEL,,Doog universitet-pasport mehmonxonasi,Downtowner-Passport Hotel
3528,RED LION INNS,,Qizil sherli Inns,Red Lion Inns
3529,CP HOTELS,,CP mehmonxonalari,CP Hotels
3530,RENAISSANCE HOTELS,,Uyg'onishnik mehmonxonalar,Ренессанс отели
3531,KAUAI COCONUT BEACH RESORT,,Kauai hindiston yong'og'i kurortida,Kauai Coconut Beach Resort
3532,ROYAL KONA RESORT,,Qirollik Kona kurorti,Royal Kona Resort
3533,HOTEL IBIS,,Ibis mehmonxonasi,Отель ibis
3534,SOUTHERN PACIFIC HOTELS,,Tinch okeani janubi-dagi janubi,Южная Тихоокеанская отели
3535,HILTON INTERNATIONALS,,Xilton International,Hilton Internationals
3536,AMFAC HOTELS,,Amfac mehmonxonalari,Amfac Hotels
3537,ANA HOTEL,,Ana mehmonxonasi,Ana Hotel
3538,CONCORDE HOTELS,,Concorde mehmonxonalari,Concorde Hotels
3539,SUMMERFIELD SUITES HOTELS,,Yozgi maydoni mehmonxonalar,Summerfield Suites Hotels
3540,IBEROTEL HOTELS,,Ibertotel mehmonxonalari,Иберотел отелей
3541,HOTEL OKURA,,Okura mehmonxonasi,Отель Окура
3542,ROYAL HOTELS,,Royal mehmonxonalari,Королевские отели
3543,FOUR SEASONS HOTELS,,To'rt fasl mehmonxonasi,Четыре сезона отелей
3544,CIGA HOTELS,,Ciga mehmonxonalari,Сига -отели
3545,SHANGRI-LA INTERNATIONAL,,Shangri-La International,Shangri-La International
3546,HOTEL SIERRA,,Sierra mehmonxonasi,Отель Sierra
3548,HOTELES MELIA,,Mehmonxonalar Melia,Отель Melia
3549,AUBERGE DES GOVERNEURS,,Birmurere des boshqaruvchisi,Auberge des Guberneurs
3550,REGAL 8 INNS,,Real 8 Inns,Regal 8 Inns
3551,MIRAGE HOTEL AND CASINO,,Miragh mehmonxonasi va Casino,Мираж отель и казино
3552,COAST HOTELS,,Coast mehmonxonalari,Прибрежные отели
3553,PARK INNS INTERNATIONAL,,Park Inns International,Park Inns International
3554,PINEHURST RESORT,,Pinxursh kurort,Pinehurst Resort
3555,TREASURE ISLAND HOTEL AND CASINO,,Xazinaning orol mehmonxonasi va kazino,Отель и казино на остров сокровища
3556,BARTON CREEK RESORT,,Barton Krik kurorti,Barton Creek Resort
3557,MANHATTAN EAST SUITE HOTELS,,Manxetten Sharqiy Suite mehmonxonalari,Манхэттен -Ист -Сюита отели
3558,JOLLY HOTELS,,Jolli mehmonxonalar,Веселые отели
3559,CANDLEWOOD SUITES,,Shamdonlar uchun mos keladi,Сюэты свечи
3560,ALADDIN RESORT AND CASINO,,Aladdin kurorti va kazino,Aladdin Resort и Casino
3561,GOLDEN NUGGET,,Golden Nugget,Золотой самородок
3562,COMFORT INNS,,Tasalli berish,Comfort Inns
3563,JOURNEY'S END MOTELS,,Safarning oxirgi omillari,Конечные мотели путешествия
3564,SAM'S TOWN HOTEL AND CASINO,,Samning shaharher mehmonxonasi va Casino,Сэм -городский отель и казино
3565,RELAX INNS,,Inns dam oling,Расслабьтесь
3566,GARDEN PLACE HOTEL,,Bog 'mehmonxonasi,Отель Garden Place
3567,SOHO GRAND HOTEL,,Soho Grand mehmonxonasi,Soho Grand Hotel
3568,LADBROKE HOTELS,,Lodbrok mehmonxonalari,Ladbroke Hotels
3569,TRIBECA GRAND HOTEL,,Tribeka Grand mehmonxonasi,Tribeca Grand Hotel
3570,FORUM HOTELS,,Forum mehmonxonalari,Форум отели
3571,GRAND WAILEA RESORT,,Grand Vayrli kurort,Grand Wailea Resort
3572,MIYAKO HOTELS,,Miyako mehmonxonalari,Мияко отели
3573,SANDMAN HOTELS,,Sandman mehmonxonalari,Sandman Hotels
3574,VENTURE INNS,,Venture Inns Inns,Венчурные гостиницы
3575,VAGABOND HOTELS,,Vagibond mehmonxonalari,Бродячие отели
3576,LA QUINTA RESORT,,L kvinta kurorti,La Quinta Resort
3577,MANDARIN ORIENTAL HOTEL,,Mandarid Sharqiy mehmonxona,Mandarin Oriental Hotel
3578,FRANKENMUTH BAVARIAN,,Frankenmut Bavariya,Франкенмут Баварский
3579,HOTEL MERCURE,,Mehmonxonaga Mersur,Отель Mercure
3580,HOTEL DEL CORONADO,,Hotel Del Coronado,Отель Del Coronado
3581,DELTA HOTEL,,Delta mehmonxonasi,Delta Hotel
3582,CALIFORNIA HOTEL AND CASINO,,Kaliforniya mehmonxonasi va kazino,Калифорнийский отель и казино
3583,RADISSON BLU,,Radisson Blu,Radisson Blu
3584,PRINCESS HOTELS INTERNATIONAL,,Malika mehmonxonalari International,Princess Hotels International
3585,HUNGAR HOTELS,,Vengriya mehmonxonalari,Венгрия отелей
3586,SOKOS HOTELS,,Sokos mehmonxonalari,Sokos Hotels
3587,DORAL HOTELS,,Doral mehmonxonalar,Дорал отели
3588,HELMSLEY HOTELS,,Helmsli mehmonxonalar,Helmsley Hotels
3589,DORAL GOLF RESORT,,Doral golf kurorti,Doral Golf Resort
3590,FAIRMONT HOTELS,,Mehribon mehmonxonalar,Fairmont Hotels
3591,SONESTA HOTELS,,Sonesta mehmonxonalari,Sonesta Hotels
3592,OMNI HOTELS,,OMSI mehmonxonalari,Омни отели
3593,CUNARD HOTELS,,Vositachilar mehmonxonalari,Cunard Hotels
3594,ARIZONA BILTMORE,,Arizona Biltmore,Аризона Билтмор
3595,HOSPITALITY INNS,,Mehmondo'stlik mehmonxonasi,Гостеприимство
3596,WYNN LAS VEGAS,,Wyn Las Vegas,Винн Лас -Вегас
3597,RIVERSIDE RESORT HOTEL AND CASINO,,Riverside kurort mehmonxonasi va kazino,Riverside Resort Hotel и Casino
3598,REGENT INTERNATIONAL HOTELS,,Regent International mehmonxonalar,Regent International Hotels
3599,PANNONIA HOTELS,,Pannonia mehmonxonalari,Pannonia Hotels
3600,SADDLEBROOK RESORT TAMPA,,Emakbok kurort tampa,Saddlebrook Resort Tampa
3601,TRADEWINDS RESORTS,,Savdogarlar kurorti,TradeWinds Resorts
3602,HUDSON HOTEL,,Gudson mehmonxonasi,Hudson Hotel
3603,NOAH'S HOTELS,,Nuhning mehmonxonalari,Отели Ноя
3604,HILTON GARDEN INN,,Xilton bog'i,Hilton Garden Inn
3607,FONTAINEBLEAU RESORTS,,FontaayneBlouse kurortlar,Fontainebleau Resorts
3608,GAYLORD OPRYLAND,,Gaylord Opryland,Гейлорд Опраленд
3609,GAYLORD PALMS,,Gaylama kaftlari,Гейлорд Пальмы
3612,MOEVENPICK HOTELS,,Malevenpick mehmonxonalari,Moevenpick Hotels
3613,MICROTEL INNS & SUITES,,MicTel Inn va Suites,Microtel Inns & Suites
3614,AMERICINN,,Amerikalik,ИМЕРИНН
3615,TRAVELODGE,,Sayr qilmoq,Travelodge
3617,AMERICA'S BEST VALUE INN,,Amerikaning eng yaxshi qiymati Inn,Лучшая гостиница Америки
3618,GREAT WOLF,,Ajoyib bo'ri,Великий волк
3619,ALOFT,,Alomat,Вверх
3620,BINION'S HORSESHOE CLUB,,Shirinning rollari klubi,Binion's Horseshoe Club
3621,EXTENDED STAY,,Kengaytirilgan qolish,Расширенное пребывание
3622,MERLIN HOTELS,,Merlin mehmonxonalari,Merlin Hotels
3623,DORINT HOTELS,,Dorint mehmonxonalari,DORINT HOTELS
3624,LADY LUCK HOTEL AND CASINO,,Xonim omad telefoni va kazino,Lady Luck Hotel и казино
3625,HOTEL UNIVERSALE,,Mehmonxona,Отель Universale
3626,STUDIO PLUS,,Studio Plus,Studio Plus
3627,EXTENDED STAY AMERICA,,Kengaytirilgan Amerikada qolish,Расширенное пребывание Америка
3628,EXCALIBUR HOTEL AND CASINO,,Exctalibur mehmonxonasi va Casino,Экскалибур отель и казино
3629,DAN HOTELS,,Dan mehmonxonalari,Дэн отели
3630,TOKYU HOTELS,,Tikyuru mehmonxonalari,Tokyu Hotels
3631,SLEEP INN,,Uxlash,Sleep Inn
3632,THE PHOENICIAN,,Finikika,Финикийский
3633,RANK HOTELS,,Mehmonxonalar,Ранжирование отелей
3634,SWISSOTEL,,Svissotel,Swissotel
3635,RESO HOTELS,,Reo mehmonxonalar,Reso Hotels
3636,SAROVA HOTELS,,Sarova mehmonxonalari,Сарова отелей
3637,RAMADA INNS,,Ramada Inns,Ramada Inns
3638,HOWARD JOHNSON,,Xovard Jonson,Говард Джонсон
3639,MOUNT CHARLOTTE THISTLE,,Charlott Thistle The,Гора Шарлотта Териф
3640,HYATT HOTELS,,Hyatt mehmonxonalari,Hyatt Hotels
3641,SOFITEL HOTELS,,Sofitel mehmonxonalari,Sofitel Hotels
3642,NOVOTEL HOTELS,,Novotel mehmonxonalari,Novotel Hotels
3643,STEIGENBERGER HOTELS,,StegiGenberger mehmonxonalari,Steigenberger Hotels
3644,ECONO LODGES,,Econo Lods,Econo Lodges
3645,QUEENS MOAT HOUSES,,Moat uylari,Квинс Рус Домы
3646,SWALLOW HOTELS,,Mehmonxonalarni yutib oling,Глотать отели
3647,HUSA HOTELS,,Xusa mehmonxonalari,Husa Hotels
3648,DE VERE HOTELS,,De Vere mehmonxonalari,Де Вере отели
3649,RADISSON HOTELS,,Radisson mehmonxonalari,Radisson Hotels
3650,RED ROOF INNS,,Qizil Rohi Inns,Red Roof Inns
3651,IMPERIAL LONDON HOTEL,,Imperator London mehmonxonasi,Imperial London Hotel
3652,EMBASSY HOTELS,,Elchixonaning mehmonxonalari,Отели посольства
3653,PENTA HOTELS,,Pentra mehmonxonalari,Пентальные отели
3654,LOEWS HOTELS,,Lows mehmonxonalari,Loews Hotels
3655,SCANDIC HOTELS,,Skandin mehmonxonalari,Скандичные отели
3656,SARA HOTELS,,Sara mehmonxonalari,Сара отели
3657,OBEROI HOTELS,,Oberoni mehmonxonalari,Отель Oberoi Hotels
3658,NEW OTANI HOTELS,,Yangi Otani mehmonxonalari,Новые отели Отани
3659,TAJ HOTELS INTERNATIONAL,,TAJ Hotels International,Taj Hotels International
3660,KNIGHTS INNS,,Ritsarlar mehmonxonasi,Knights Inns
3661,METROPOLE HOTELS,,Metropol mehmonxonalari,Metropole Hotels
3662,CIRCUS CIRCUS HOTEL AND CASINO,,Sirk tsirk mehmonxonasi va kazino,Цирковой цирковой отель и казино
3663,HOTELES EL PRESIDENTE,,Elektron prezident Elchi mehmonxonalar,Отель El Presidente
3664,FLAG INN,,Black mehmon,Flag Inn
3665,HAMPTON INNS,,Xempton Inns,Hampton Inns
3666,STAKIS HOTELS,,Stakis mehmonxonalari,Stakis Hotels
3667,LUXOR HOTEL AND CASINO,,Luxor mehmonxonasi va kazino,Luxor Hotel и казино
3668,MARITIM HOTELS,,Maritim mehmonxonalari,Марит -отели
3669,ELDORADO HOTEL AND CASINO,,Eldorado mehmonxonasi va Casino,Отель и казино Eldorado
3670,ARCADE HOTELS,,Arkada mehmonxonalar,Аркадные отели
3671,ARCTIA HOTELS,,Arktsiya mehmonxonalari,Arctia Hotels
3672,CAMPANILE HOTELS,,Kampiril mehmonxonalari,Campanile Hotels
3673,IBUSZ HOTELS,,Ibusz mehmonxonalari,Ibusz Hotels
3674,RANTASIPI HOTELS,,Rantasipi mehmonxonalari,Rantasipi Hotels
3675,INTERHOTEL CEDOK,,Interhotel cedok,Interhotel Cedok
3676,MONTE CARLO HOTEL AND CASINO,,Monte Carlo mehmonxonasi va Casino,Монте -Карло отель и казино
3677,CLIMAT DE FRANCE HOTELS,,Frantsiya mehmonxonalari,Климатные отели De France
3678,CUMULUS HOTELS,,Kullus mehmonxonalari,Кучевые отели
3679,SILVER LEGACY HOTEL AND CASINO,,Kumush Legasy mehmonxonasi va Casino,Silver Legacy Hotel и казино
3680,HOTEIS OTHAN,,Heomis Overan,Хотес Отан
3681,ADAMS MARK HOTELS,,Adams mehmonxonalar,Адамс Марк отели
3682,SAHARA HOTEL AND CASINO,,Sahara mehmonxonasi va Casino,Отель и казино Sahara
3683,BRADBURY SUITES,,Bredberi Suites,Bradbury Suites
3684,BUDGET HOST INNS,,Byudjet mezbonlar,Бюджетный хост гостиницы
3685,BUDGETEL INNS,,Byudjet mollari,Бюджетные гостиницы
3686,SUSSE CHALET,,Sasse chalet,Сасс Шале
3687,CLARION HOTELS,,Claron mehmonxonalari,Clarion Hotels
3688,COMPRI HOTELS,,Ixtisotxonalar,Compri Hotels
3689,CONSORT HOTELS,,Mehmonxonalar,Консортные отели
3690,COURTYARD BY MARRIOTT,,Marriott hovli,Двор от Marriott
3691,DILLON INNS,,Dillon Inns,Dillon Inns
3692,DOUBLETREE HOTELS,,Dowletree mehmonxonalari,DoubleTree Hotels
3693,DRURY INNS,,Drester Inns,Drury Inns
3694,ECONOMY INNS OF AMERICA,,Amerikaning iqtisodiyoti,Экономическая гостиница Америки
3695,EMBASSY SUITES,,Elchixona to'plamlari,Пособные люксы
3696,EXEL INNS,,Exel Inns,Exel Inns
3697,FAIRFIELD HOTELS,,Fairfield mehmonxonalari,Fairfield Hotels
3698,HARLEY HOTELS,,Xarley mehmonxonalari,Harley Hotels
3699,MIDWAY MOTOR LODGE,,Motorning dvigateli,Midway Motor Lodge
3700,MOTEL 6,,Motel 6,Мотель 6
3701,LA MANSION DEL RIO,,La mansion del rio,La Mansion del Rio
3702,THE REGISTRY HOTELS,,Mehmonxonalar,Реестр отелей
3703,RESIDENCE INNS,,Yashash joylari,Residence Inns
3704,ROYCE HOTELS,,Royce mehmonxonalari,Royce Hotels
3705,SANDMAN INNS,,Sandman Inns,Sandman Inns
3706,SHILO INNS,,Shilo Inns,Shilo Inns
3707,SHONEY'S INNS,,Shoneyning mehmonxonasi,Shoney's Inns
3708,VIRGIN RIVER HOTEL AND CASINO,,Bokira daryosi mehmonxonasi va kazino,Отель и казино Virgin River
3709,SUPER 8 MOTELS,,Super 8 Motel,Super 8 Motels
3710,THE RITZ-CARLTON,,Ritz-Karlton,Ritz-Carlton
3711,FLAG INNS (AUSTRALIA),,Flagle Inns (Avstraliya),Flag Inns (Австралия)
3712,BUFFALO BILL'S HOTEL AND CASINO,,Buffalo Bill mehmonxonasi va Casino,Отель и казино Буффало Билла
3713,QUALITY PACIFIC HOTEL,,Tinch okeani mehmonxonasi,Качественный Pacific Hotel
3714,FOUR SEASONS HOTEL (AUSTRALIA),,To'rt fasl mehmonxonasi (Avstraliya),Отель Four Seasons (Австралия)
3715,FAIRFIELD INN,,Fairfield Inn,Fairfield Inn
3716,CARLTON HOTELS,,Karlton mehmonxonalari,Карлтон отели
3717,CITY LODGE HOTELS,,Shahar turkori mehmonxonalar,Городская ложа отелей
3718,KAROS HOTELS,,Karos mehmonxonalari,Карос отели
3719,PROTEA HOTELS,,Protea mehmonxonalari,Протеа отели
3720,SOUTHERN SUN HOTELS,,Janubiy Quyosh mehmonxonalari,Южные отели Солнца
3721,HILTON CONRAD,,Xilton Conrad,Хилтон Конрад
3722,WYNDHAM,,Xyndham,Уиндхэм
3723,RICA HOTELS,,Rika mehmonxonalari,Рика отели
3724,INTER NOR HOTELS,,"""Inter"" va mehmonxonalar",Интернет отелей
3725,SEA PINES RESORT,,Dengiz qarag'aylari kurort,Sea Pines Resort
3726,RIO SUITES,,Rio Suites,Rio Suites
3727,BROADMOOR HOTEL,,Broadmoor mehmonxonasi,Broadmoor Hotel
3728,BALLY'S HOTEL AND CASINO,,Ballyning mehmonxonasi va kazino,Bally's Hotel и Casino
3729,JOHN ASCUAGA'S NUGGET,,Jon Ass Assuaga Nug'get,Самородка Джона Аскуаги
3730,MGM GRAND HOTEL,,Mgm grand mehmonxonasi,MGM Grand Hotel
3731,HARRAH'S HOTELS AND CASINOS,,Xarrah mehmonxonalari va kazino,Отели и казино Harrah
3732,OPRYLAND HOTEL,,Oprylandning mehmonxonasi,Opryland Hotel
3734,HARVEY/BRISTOL HOTELS,,Xarvi / Bristol mehmonxonalari,Харви/Бристоль отели
3735,MASTERS ECONOMY INNS,,Masterlar Iqtisodiyot Inns,Мастерская экономика гостиницы
3736,COLORADO BELLE/EDGEWATER RESORT,,Kolorado belle / chekka suv kurort,Колорадо Belle/Edgewater Resort
3737,RIVIERA HOTEL AND CASINO,,Riviera mehmonxonasi va kazino,Riviera Hotel и Casino
3738,TROPICANA RESORT & CASINO,,Tropcana kurort va kazino,Tropicana Resort & Casino
3739,WOODSIDE HOTELS & RESORTS,,The Woodside mehmonxonalar va kurortlar,Woodside Hotels & Resorts
3740,TOWNEPLACE SUITES,,ShaharePlace Suites,Towneplace Suites
3741,MILLENNIUM HOTELS,,Mingyillik mehmonxonalari,Отели тысячелетия
3742,CLUB MED,,Club Med,Клуб Мед
3743,BILTMORE HOTEL & SUITES,,Biltmore mehmonxonasi va da'volar,Biltmore Hotel & Suites
3744,CAREFREE RESORTS,,Carefri kurortlari,Беззаботные курорты
3745,ST. REGIS HOTEL,,XT. Regis mehmonxonasi,Ул. Регис отель
3746,THE ELIOT HOTEL,,Eliot mehmonxonasi,Отель Eliot
3747,CLUBCORP/CLUBRESORTS,,ClubCorp / Klublar,ClubCorp/ClubResorts
3748,WELLESLEY INNS,,Wellesley Inns,Wellesley Inns
3749,THE BEVERLY HILLS HOTEL,,Beverly Hills mehmonxonasi,Отель Беверли -Хиллз
3750,CROWNE PLAZA HOTELS,,Krene Plaza mehmonxonalari,Crowne Plaza Hotels
3751,HOMEWOOD SUITES,,Uy qurish uchun sovutish uchun,Homewood Suites
3752,PEABODY HOTELS,,Peabod mehmonxonalari,Отели Пибоди
3753,GREENBRIAR RESORTS,,Yashil Resortlar,Greenbriar Resorts
3754,AMELIA ISLAND PLANTATION,,Amelia orollari plantatsiyasi,Плантация острова Амелия
3755,THE HOMESTEAD,,Uy,Усадьба
3756,TOYOKO INN,,TOYOKO ANT,Toyoko Inn
3757,CANYON RANCH,,Kanyon ranchosi,Каньон Ранчо
3758,KAHALA MANDARIN ORIENTAL HOTEL,,KA'ala Manarin Sharq mehmonxonasi,Kahala Mandarin Oriental Hotel
3759,THE ORCHID AT MAUNA LANI,,Mauna Lani-da orkide,Орхидея в Мауна Лани
3760,HALEKULANI HOTEL/WAIKIKI PARC,,Halekulani mehmonxonasi / Waikiki Parc,Halekulani Hotel/Waikiki Parc
3761,PRIMADONNA HOTEL AND CASINO,,Priadonna mehmonxonasi va kazino,Primadonna Hotel и Casino
3762,WHISKEY PETE'S HOTEL AND CASINO,,Viski Pete mehmonxonasi va Casino,Виски отель Пита и казино
3763,CHATEAU ELAN WINERY AND RESORT,,Chatoue Elan Winerlik va kurort,Винодельня и курорт Chateau Elan
3764,BEAU RIVAGE HOTEL AND CASINO,,Beu Rive mehmonxonasi va Casino,Beau Rivage Hotel и казино
3765,BELLAGIO,,Beldasio,Белладжио
3766,FREMONT HOTEL AND CASINO,,Fremint Hotel va Casino,Fremont Hotel и Casino
3767,MAIN STREET STATION HOTEL AND CASINO,,Asosiy ko'cha stantsiyasi mehmonxonasi va kazino,Отель и казино Main Street Station
3768,SILVER STAR HOTEL AND CASINO,,Kumush yulduz mehmonxonasi va kazino,Отель и казино Silver Star
3769,STRATOSPHERE HOTEL AND CASINO,,Stratosfera mehmonxonasi va kazino,Стратосферная отель и казино
3770,SPRINGHILL SUITES,,SpringHill Subites,Springhill Suites
3771,CAESAR'S HOTEL AND CASINO,,Qaysarning mehmonxonasi va kazino,Цезарь отель и казино
3772,NEMACOLIN WOODLANDS,,Nemacoin o'rmonzorlari,Немаколиновые леса
3773,THE VENETIAN RESORT HOTEL CASINO,,Venetsiya kurort mehmonxonasi Casino,Венецианское курортное отель казино
3774,NEW YORK-NEW YORK HOTEL AND CASINO,,Nyu-York-Nyu-York mehmonxonasi va Casino,Нью-Йорк-Нью-Йорк отель и казино
3775,SANDS RESORT,,Qums kurort,Sands Resort
3776,NEVELE GRAND RESORT AND COUNTRY CLUB,,Nevele Grand Rort va mamlakat klubi,Nevele Grand Resort и Country Club
3777,MANDALAY BAY RESORT,,Manmalay Bay kurort,Mandalay Bay Resort
3778,FOUR POINTS HOTELS,,To'rt ochko mehmonxonasi,Четыре очка отелей
3779,W HOTELS,,Mehmonxonalar,W отели
3780,DISNEY RESORTS,,Disney kurortlari,Disney Resorts
3781,PATRICIA GRAND RESORT HOTELS,,Patrisiya Grand Resort mehmonxonalari,Патриция Grand Resort Hotels
3782,ROSEN HOTELS AND RESORTS,,Rozen mehmonxonalari va kurortlar,Розен отели и курорты
3783,TOWN AND COUNTRY RESORT & CONVENTION CENTER,,Shahar va mamlakat kurort va anjuman markazi,Town и Country Resort & Convention Center
3784,FIRST HOSPITALITY HOTELS,,Birinchi mehmondo'stlik mehmonxonalari,Первые гостеприимные отели
3785,OUTRIGGER HOTELS AND RESORTS,,Qo'llash moslamalari va kurortlar,Отели и курорты Outgerg
3786,OHANA HOTELS OF HAWAII,,Ohana Gavayi mehmonxonalari,Отели Ohana of Hawaii
3787,CARIBE ROYALE RESORTS,,Kariban Royale Reorses,Caribe Royale Resorts
3788,ALA MOANA HOTEL,,Ala Mana mehmonxonasi,Ala Moana Hotel
3789,SMUGGLER'S NOTCH RESORT,,SMUGGER-ning notchi kurort,Страдчик Notch Resort
3790,RAFFLES HOTELS,,Raffler mehmonxonalari,Раффлс отели
3791,STAYBRIDGE SUITES,,Qolish Suites,Staybridge Suites
3792,CLARIDGE CASINO HOTEL,,Clarjidj Casino mehmonxonasi,Claridge Casino Hotel
3793,FLAMINGO HOTELS,,Flamingo mehmonxonalari,Отели фламинго
3794,GRAND CASINO HOTELS,,Grand Casino mehmonxonalari,Большой казино отели
3795,PARIS LAS VEGAS HOTEL,,Parij Las Vegas mehmonxonasi,Париж Лас -Вегас отель
3796,PEPPERMILL HOTEL CASINO,,Peppermill Hotel Casino,Peppermill Hotel Casino
3797,ATLANTIC CITY HILTON RESORTS,,Atlantika City Xilton kurortlari,Atlantic City Hilton Resorts
3798,EMBASSY VACATION RESORT,,Elchixona ta'til kursi,Пособие каникулы
3799,HALE KOA HOTEL,,Hale Koa mehmonxonasi,Hale Koa Hotel
3800,HOMESTEAD SUITES,,Uy uchun sovutish uchun,Усадьба
3801,WILDERNESS HOTEL AND RESORT,,Sahroda mehmonxona va kurort,Отель и курорт дикой природы
3802,THE PALACE HOTEL,,Palace mehmonxonasi,Palace Hotel
3807,ELEMENT,,Element,ЭЛЕМЕНТ
3808,LXR,,Lok,LXR
3811,PREMIER INN,,Premer Inn,Premier Inn
3812,HYATT PLACE,,Hyattning joyi,Hyatt Place
3813,HOTEL INDIGO,,Indigo mehmonxonasi,Отель Indigo
3814,THE ROOSEVELT HOTEL NY,,Ruzvelt Hotel Ny,The Roosevelt Hotel NY
3815,NICKELODEON FAMILY SUITES BY HOLIDAY INN,,Nikelodeon oilasi dam olish uchun uy egalari,Nickelodeon Family Suites от Holiday Inn
3816,HOME2SUITES,,Uy222222,Home2suites
3818,MAINSTAY SUITES,,Suites Suites,Основные люксы
3819,OXFORD SUITES,,Oksford Suiti,Оксфордские апартаменты
3820,JUMEIRAH ESSEX HOUSE,,Jumeirah Essex uyi,Jumeirah Essex House
3821,CARIBE ROYALE,,Karibara Royale,Карибе Рояль
3822,CROSSLAND,,Kesish,Кроссленд
3823,GRAND SIERRA RESORT,,Grand Sierra kurorti,Grand Sierra Resort
3824,ARIA,,Aria,Ария
3825,VDARA,,Vdara,Vdara
3826,AUTOGRAPH,,Dastxat,АВТОГРАФ
3827,GALT HOUSE,,Galt uyi,Галт Хаус
3828,COSMOPOLITAN OF LAS VEGAS,,Las-Vegasning kosmopoliti,Космополит из Лас -Вегаса
3829,COUNTRY INN BY RADISSON,,Radisson tomonidan mamlakat,Country Inn от Radisson
3830,PARK PLAZA HOTEL,,Park plaza mehmonxonasi,Park Plaza Hotel
3831,WALDORF,,Shaytonf,Вальдорф
3832,CURIO HOTELS,,Kurio mehmonxonalari,Curio Hotels
3833,CANOPY,,Ziqna,Навес
3834,BAYMONT INN & SUITES,,Baymont Inn & Suites,Baymont Inn & Suites
3835,DOLCE HOTELS AND RESORTS,,Dolce mehmonxonalari va kurortlar,Dolce Hotels and Resorts
3836,HAWTHORN BY WYNDHAM,,Wyndham tomonidan do'lana,Боярышник от Уиндхэма
3837,HOSHINO RESORTS,,Xoshino kurortlari,Hoshino Resorts
3838,KIMPTON HOTELS,,Kimmton mehmonxonalari,Кимптон отели
3839,KYORITSU HOTELS,,Kiritsitsu mehmonxonalari,Kyoritsu Hotels
4011,Railroads,,Temir yo'l,Железные дороги
4111,"Local and Suburban Commuter Passenger Transportation, Including Ferries",,"Mahalliy va shahar atrofi savdosi yo'lovchi tashish, shu jumladan parserlar","Местные и пригородные пассажирские пассажирские перевозки, включая паромы"
4112,Passenger Railways,,Yo'lovchi temir yo'llari,Пассажирские железные дороги
4119,Ambulance Services,,Tez yordam xizmati,Службы скорой помощи
4121,Taxicabs and Limousines,,Soliq va limuzinlar,Такси и лимузины
4131,Bus Lines,,Avtobus chiziqlari,Автобусные линии
4214,"Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery",,"Avtotransport yuk tashuvchilar va yuk mashinasi - mahalliy va shaharlar, harakatlanuvchi va saqlash kompaniyalari va mahalliy etkazib berish","Автомобильные перевозчики и грузоперевозки - местные и большие расстояния, транспортные и хранения, а также местная доставка"
4215,"Courier Services - Air and Ground, and Freight Forwarders",,Kuryer xizmatlari - Havo va zamin va ekspeditorlar,"Курьерские услуги - воздух и земля, а также перенаправляющие"
4225,"Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage",,"Ommaviy omborxonalar va saqlash - ferma mahsulotlari, muzlatgichli tovarlar, uy-ro'zg'or buyumlari va saqlash","Общественные склады и хранение - сельскохозяйственные товары, охлажденные товары, товары для дома и хранение"
4411,Steamship and Cruise Lines,,Bug 'dasturi va kruiz liniyalari,Пароход и круизные линии
4457,Boat Rentals and Leasing,,Qayiqni ijarasi va lizing,Прокат лодок и лизинг
4468,"Marinas, Marine Service, and Supplies",,"Marinalar, dengiz xizmati va materiallar","Марина, морское обслуживание и припасы"
4511,Airlines and Air Carriers (Not Elsewhere Classified),,Aviakompaniyalar va havo tashuvchilar (boshqa joyda tasniflangan emas),Авиакомпании и авианосцы (ни в других местах классифицированы)
4582,"Airports, Flying Fields, and Airport Terminals",,"Aeroportlar, uchadigan maydonlar va aeroport terminallari","Аэропорты, летающие поля и терминалы аэропортов"
4722,Travel Agencies and Tour Operators,,Sayyohlik agentliklari va turoperatorlari,Туристические агентства и туроператоры
4723,Package Tour Operators - Germany Only,,Paketni tashkil qilish - faqat Germaniya,Пакет туроператоров - только Германия
4784,Tolls and Bridge Fees,,Tolls va ko'prix to'lovlari,Проезд и плата за мост
4789,Transportation Services (Not Elsewhere Classified),,Transport xizmatlari (boshqa joyda tasniflangan),Транспортные услуги (не в других местах классифицируются)
4812,Telecommunication Equipment and Telephone Sales,,Telekommunikatsiya uskunalari va telefon sotish,Телекоммуникационное оборудование и продажи по телефону
