MCC,DESCRIPTION,STRIPE CODE,DESCRIPTION_UZ,DESCRIPTION_RU
7534,Tire Retreading and Repair,tire_retreading_and_repair,Shinani qayta ishlash va ta'mirlash,Шиновое восстановление и ремонт
7535,Auto Paint Shops,auto_paint_shops,Avtomatik bo'yoq do'konlari,Автократные магазины
7538,Auto Service Shops,auto_service_shops,Avtomatik xizmat ko'rsatish do'konlari,Авто сервисные магазины
7542,Car Washes,car_washes,Avtomobil yuvish,Автомобильные стирки
7549,Towing Services,towing_services,Exish xizmatlari,Буксирные услуги
7622,Electronics Repair Shops,electronics_repair_shops,Electronicik ta'mirlash do'konlari,Электронные ремонтные мастерские
7623,"A/C, Refrigeration Repair",ac_refrigeration_repair,"A / C, Sovutgichni ta'mirlash","A/C, ремонт охлаждения"
7629,Small Appliance Repair,small_appliance_repair,Kichik jihozni ta'mirlash,Ремонт небольшого устройства
7631,Watch/Jewelry Repair,watch_jewelry_repair,Watch / zargarlik buyumlarini ta'mirlash,Смотреть/ювелирные изделия
7641,"Furniture Repair, Refinishing",furniture_repair_refinishing,"Mebelni ta'mirlash, qayta ochish","Ремонт мебели, ремонт"
7692,Welding Repair,welding_repair,Payvandlash,Сварка ремонта
7699,Miscellaneous Repair Shops,miscellaneous_repair_shops,Turli xil ta'mirlash do'konlari,Разное ремонтные мастерские
7829,Picture/Video Production,picture_video_production,Rasm / video ishlab chiqarish,Изображение/видеопроизводство
7832,Motion Picture Theaters,motion_picture_theaters,Motion Teatr teatrlari,Кинотеатры
7841,Video Tape Rental Stores,video_tape_rental_stores,Video lenta ijarasi do'konlari,С магазина аренды видеокассеры
7911,"Dance Hall, Studios, Schools",dance_hall_studios_schools,"Raqs zali, studiyalar, maktablar","Танцевальный зал, студии, школы"
7922,Theatrical Ticket Agencies,theatrical_ticket_agencies,Teatr chiptasining agentliklari,Театральные билетные агентства
7929,"Bands, Orchestras",bands_orchestras,"Bands, orkestrlar","Группы, оркестры"
7932,Billiard/Pool Establishments,billiard_pool_establishments,Bilyard / basseyn muassasalari,Бильярд/пул
7933,Bowling Alleys,bowling_alleys,Bouling xiyobonlari,Боулинг -переулки
7941,Sports Clubs/Fields,sports_clubs_fields,Sport klublari / sohalari,Спортивные клубы/поля
7991,Tourist Attractions and Exhibits,tourist_attractions_and_exhibits,Turistik diqqatga sazovor joylar va eksponatlar,Туристические достопримечательности и экспонаты
7992,Golf Courses - Public,golf_courses_public,Golf kurslari - ommaviy,Поля для гольфа - общественность
7993,Video Amusement Game Supplies,video_amusement_game_supplies,Video o'yin-kulgi o'yinlari,Видеоализация Game Supplies
7994,Video Game Arcades,video_game_arcades,Video o'yini arkades,Видеоигры аркады
7995,Betting/Casino Gambling,betting_casino_gambling,Pul tikish / kazino qimor,Ставки/азартные игры казино
7996,Amusement Parks/Carnivals,amusement_parks_carnivals,Ko'mir bog'lari / karnivials,Парки/карнавалы развлечений
7997,Country Clubs,country_clubs,Mamlakat klublari,Загородные клубы
7998,Aquariums,aquariums,Akvariumlar,Аквариумы
7999,Miscellaneous Recreation Services,miscellaneous_recreation_services,Turli xil dam olish xizmatlari,Разные службы отдыха
8011,Doctors,doctors,Shifokorlar,Врачи
8021,"Dentists, Orthodontists",dentists_orthodontists,"Stomatologlar, ortodontlar","Стоматологи, ортодонт"
8031,Osteopaths,osteopaths,Osteopatlar,Остеопаты
8041,Chiropractors,chiropractors,Chiropraktors,Хиропрактики
8042,"Optometrists, Ophthalmologist",optometrists_ophthalmologist,"Opometristlar, oftalmolog","Оптометристы, офтальмолог"
8043,"Opticians, Eyeglasses",opticians_eyeglasses,"Optikaliklar, ko'zoynaklar","Оптики, очки"
8049,"Chiropodists, Podiatrists",chiropodists_podiatrists,"Chiropodchilar, podiatrlar","Хироподисты, Подиатры"
8050,Nursing/Personal Care,nursing_personal_care,Hamshiralik / shaxsiy parvarish,Уход/личная помощь
8062,Hospitals,hospitals,Kasalxonalar,Больницы
8071,Medical and Dental Labs,medical_and_dental_labs,Tibbiy va stomatologik laboratoriyalar,Медицинские и стоматологические лаборатории
8099,Medical Services,medical_services,Tibbiy xizmatlar,Медицинские услуги
8111,"Legal Services, Attorneys",legal_services_attorneys,"Yuridik xizmatlar, advokatlar","Юридические услуги, адвокаты"
8211,"Elementary, Secondary Schools",elementary_secondary_schools,"Boshlang'ich, o'rta maktablar","Начальные, средние школы"
8220,"Colleges, Universities",colleges_universities,"Kollejlar, universitetlar","Колледжи, университеты"
8241,Correspondence Schools,correspondence_schools,Masoratsizlik maktablari,Переписка школ
8244,Business/Secretarial Schools,business_secretarial_schools,Biznes / kotibiyat maktablari,Бизнес/секретарские школы
8249,Vocational/Trade Schools,vocational_trade_schools,Kasb-tijorat maktablari,Профессиональные/торговые школы
8299,Educational Services,educational_services,Ta'lim bo'yicha xizmatlar,Образовательные услуги
8351,Child Care Services,child_care_services,Bolalar parvarishlari,Услуги по уходу за детьми
8398,Charitable and Social Service Organizations - Fundraising,charitable_and_social_service_organizations_fundraising,Xayriya va ijtimoiy xizmat tashkilotlari - mablag 'yig'ish,Благотворительные и социальные услуги - сбор средств
8641,"Civic, Social, Fraternal Associations",civic_social_fraternal_associations,"Fuqarolik, ijtimoiy, qardosh birlashmalar","Гражданские, социальные, братские ассоциации"
8651,Political Organizations,political_organizations,Siyosiy tashkilotlar,Политические организации
8661,Religious Organizations,religious_organizations,Diniy tashkilotlar,Религиозные организации
8675,Automobile Associations,automobile_associations,Avtomobillar uyushmalari,Автомобильные ассоциации
8699,Membership Organizations,membership_organizations,A'zolik tashkilotlari,Членские организации
8734,Testing Laboratories,testing_laboratories,Sinov laboratoriyalari,Тестирование лабораторий
8911,Architectural/Surveying Services,architectural_surveying_services,Arxitektura / qidiruv xizmatlari,Архитектурные/съемки услуг
8931,Accounting/Bookkeeping Services,accounting_bookkeeping_services,Buxgalteriya / buxgalteriya xizmatlari,Служба бухгалтерского учета/бухгалтерского учета
8999,Professional Services,professional_services,Kasblar,Профессиональные услуги
9211,"Court Costs, Including Alimony and Child Support - Courts of Law",court_costs,"Sud xarajatlari, aliment va bolalarni qo'llab-quvvatlash - qonun mukofoti","Судебные издержки, включая алименты и алименты - суды"
9222,Fines - Government Administrative Entities,fines_government_administrative_entities,Jarimalar - davlat boshqaruvi organlari,Штрафы - государственные административные организации
9223,"Bail and Bond Payments (payment to the surety for the bond, not the actual bond paid to the government agency)",bail_and_bond_payments,"Garov va obligatsiya to'lovlari (davlat idorasiga to'lanadigan haqiqiy obliga emas, balki rishtalar uchun emas)","Оплата залога и облигаций (оплата поручителю за облигацию, а не фактическую облигацию, уплаченную государственному агентству)"
9311,Tax Payments - Government Agencies,tax_payments_government_agencies,Soliq to'lovlari - davlat idoralari,Налоговые платежи - государственные учреждения
9399,Government Services (Not Elsewhere Classified),government_services,Davlat xizmatlari (boshqa joyda tasniflangan emas),Государственные услуги (не в других местах классифицируются)
9402,Postal Services - Government Only,postal_services_government_only,Pochta xizmatlari - Faqat hukumat,Почтовые услуги - только правительство
9405,U.S. Federal Government Agencies or Departments,u_s_federal_government_agencies_or_departments,U.S. AQSh Federal hukumat idoralari yoki bo'limlar,Федеральные правительственные органы США или департаменты
9950,Intra-Company Purchases,intra_company_purchases,Kompaniya ichidagi xaridlar,Внутренние покупки
