MCC,DESCRIPTION,MASTERCARD_ABBREVIATED_AIRLINE_NAME,DESCRIPTION_UZ,DESCRIPTION_RU
3583,Radisson BLU,,Radisson Blu,Radisson Blu
3584,Princess Hotels International,,Malika mehmonxonalari International,Princess Hotels International
3585,Hungar Hotels,,Vengriya mehmonxonalari,Венгрия отелей
3586,Sokos Hotel,,Sokos mehmonxonasi,Sokos Hotel
3587,Doral Hotels,,Doral mehmonxonalar,Дорал отели
3588,Helmsley Hotels,,Helmsli mehmonxonalar,Helmsley Hotels
3589,Doral Golf Resort,,Doral golf kurorti,Doral Golf Resort
3590,Fairmont Hotels,,Mehribon mehmonxonalar,Fairmont Hotels
3591,Sonesta Hotels,,Sonesta mehmonxonalari,Sonesta Hotels
3592,Omni Hotels,,OMSI mehmonxonalari,Омни отели
3593,Cunard Hotels,,Vositachilar mehmonxonalari,Cunard Hotels
3594,Arizona Biltmore,,Arizona Biltmore,Аризона Билтмор
3595,Hospitality Inns,,Mehmondo'stlik mehmonxonasi,Гостеприимство
3596,Wynn Las Vegas,,Wyn Las Vegas,Винн Лас -Вегас
3597,Riverside Resort and Casino,,Riverside kurort va kazino,Riverside Resort и Casino
3598,Regent International Hotel,,Regent International mehmonxonasi,Regent International Hotel
3599,Pannonia Hotels,,Pannonia mehmonxonalari,Pannonia Hotels
3600,Saddlebrook Resort: Tampa,,Egarbruk kurorti: tampa,Saddlebrook Resort: Тампа
3601,TradeWinds Resorts,,Savdogarlar kurorti,TradeWinds Resorts
3602,Hudson Hotel,,Gudson mehmonxonasi,Hudson Hotel
3603,Noah's Hotel,,Nuh mehmonxonasi,Отель Ноя
3604,Hilton Garden Inn,,Xilton bog'i,Hilton Garden Inn
3605,Jurys Doyle Hotel Group,,Jurys Dele mehmonxonasi guruhi,Jurys Doyle Hotel Group
3606,Jefferson Hotel,,Jefferson mehmonxonasi,Джефферсон отель
3607,Fontainebleau Resort,,FontaayneBlouse kurorti,Fontainebleau Resort
3608,Gaylord Opryland,,Gaylord Opryland,Гейлорд Опраленд
3609,Gaylord Palms,,Gaylama kaftlari,Гейлорд Пальмы
3610,Gaylord Texan,,Gaylord Texan,Гейлорд Техасский
3611,C MON INN,,C Mon Inn,C Mon Inn
3612,Movenpick Hotels,,Movenpik mehmonxonalar,Movenpick Hotels
3613,Microtel Inn and Suites,,Mikotel Inn va Suites,Microtel Inn и Suites
3614,AmericInn,,Amerikalik,ИМЕРИНН
3615,Travelodge,,Sayr qilmoq,Travelodge
3616,Hermitage Hotel,,Ermitaj mehmonxonasi,Эрмитаж отель
3617,America's Best Value Inn,,Amerikaning eng yaxshi qiymati Inn,Лучшая гостиница Америки
3618,Great Wolf,,Ajoyib bo'ri,Великий волк
3619,aloft (aloft hotels),,ALoft (Aloft mehmonxonalari),Aloft (Aloft Hotels)
3620,Binion's Horseshoe Club,,Shirinning rollari klubi,Binion's Horseshoe Club
3621,Extended Stay,,Kengaytirilgan qolish,Расширенное пребывание
3622,Merlin Hotel Group,,Merlin mehmonxonasi guruhi,Merlin Hotel Group
3623,Dorint Hotels,,Dorint mehmonxonalari,DORINT HOTELS
3624,Lady Luck Hotel and Casino,,Xonim omad telefoni va kazino,Lady Luck Hotel и казино
3625,Hotel Universale,,Mehmonxona,Отель Universale
3626,Studio Plus,,Studio Plus,Studio Plus
3627,Extended Stay America,,Kengaytirilgan Amerikada qolish,Расширенное пребывание Америка
3628,Excalibur Hotel and Casino,,Exctalibur mehmonxonasi va Casino,Экскалибур отель и казино
3629,Dan Hotels,,Dan mehmonxonalari,Дэн отели
3630,Tokyu Hotels,,Tikyuru mehmonxonalari,Tokyu Hotels
3631,Sleep Inns,,Uyquni uyqu,Sleep Inns
3632,The Phoenician,,Finikika,Финикийский
3633,Rank Hotels,,Mehmonxonalar,Ранжирование отелей
3634,Swissotel,,Svissotel,Swissotel
3635,Reso Hotel,,Reso mehmonxonasi,Reso Hotel
3636,Sarova Hotels,,Sarova mehmonxonalari,Сарова отелей
3637,Ramada Inns,,Ramada Inns,Ramada Inns
3638,Howard Johnson,,Xovard Jonson,Говард Джонсон
3639,Mount Charlotte Thistle,,Charlott Thistle The,Гора Шарлотта Териф
3640,Hyatt Hotels,,Hyatt mehmonxonalari,Hyatt Hotels
3641,Sofitel Hotels,,Sofitel mehmonxonalari,Sofitel Hotels
3642,Novotel Hotels,,Novotel mehmonxonalari,Novotel Hotels
3643,Steigenberger Hotels,,StegiGenberger mehmonxonalari,Steigenberger Hotels
3644,EconoLodges,,Ya'ni ekonolodlar,Эконолоджи
3645,Queens Moat Houses,,Moat uylari,Квинс Рус Домы
3646,Swallow Hotels,,Mehmonxonalarni yutib oling,Глотать отели
3647,Husa Hotels,,Xusa mehmonxonalari,Husa Hotels
3648,De Vera Hotels,,Deya mehmonxonalari,Де Веры отели
3649,Radisson,,Radiasson,Радиссон
3650,Red Roof Inns,,Qizil Rohi Inns,Red Roof Inns
3651,Imperial London Hotels,,Imperator London mehmonxonalari,Имперские Лондонские отели
3652,Embassy Hotels,,Elchixonaning mehmonxonalari,Отели посольства
3653,Penta Hotels,,Pentra mehmonxonalari,Пентальные отели
3654,Loews Hotels,,Lows mehmonxonalari,Loews Hotels
3655,Scandic Hotels,,Skandin mehmonxonalari,Скандичные отели
3656,Sara Hotels,,Sara mehmonxonalari,Сара отели
3657,Oberoi Hotels,,Oberoni mehmonxonalari,Отель Oberoi Hotels
3658,New Otani Hotels,,Yangi Otani mehmonxonalari,Новые отели Отани
3659,Taj Hotels International,,TAJ Hotels International,Taj Hotels International
3660,Knights Inn,,Ritsarlar mehmonxonasi,Knights Inn
3661,Metropole Hotels,,Metropol mehmonxonalari,Metropole Hotels
3662,Circus Circus Hotel and Casino,,Sirk tsirk mehmonxonasi va kazino,Цирковой цирковой отель и казино
3663,Hoteles El Presidente,,Elektron prezident Elchi mehmonxonalar,Отель El Presidente
3664,Flag Inns,,Flagle Inns,Флагнн
3665,Hampton Inn Hotels,,Xempton Inn mehmonxonalar,Hampton Inn Hotels
3666,Stakis Hotels,,Stakis mehmonxonalari,Stakis Hotels
3667,Luxor Hotel and Casino,,Luxor mehmonxonasi va kazino,Luxor Hotel и казино
3668,Maritim Hotels,,Maritim mehmonxonalari,Марит -отели
3669,Eldorado Hotel and Casino,,Eldorado mehmonxonasi va Casino,Отель и казино Eldorado
3670,Arcade Hotels,,Arkada mehmonxonalar,Аркадные отели
3671,Arctia Hotels,,Arktsiya mehmonxonalari,Arctia Hotels
3672,Campanile Hotels,,Kampiril mehmonxonalari,Campanile Hotels
3673,IBUSZ Hotels,,Ibusz mehmonxonalari,Ibusz Hotels
3674,Rantasipi Hotels,,Rantasipi mehmonxonalari,Rantasipi Hotels
3675,Interhotel CEDOK,,Interhotel cedok,Interhotel Cedok
3676,Monte Carlo Hotel and Casino,,Monte Carlo mehmonxonasi va Casino,Монте -Карло отель и казино
3677,Climat de France Hotels,,Frantsiya mehmonxonalari,Климатные отели De France
3678,Cumulus Hotels,,Kullus mehmonxonalari,Кучевые отели
3679,Silver Legacy Hotel and Casino,,Kumush Legasy mehmonxonasi va Casino,Silver Legacy Hotel и казино
3680,Hoteis Othan,,Heomis Overan,Хотес Отан
3681,Adams Mark Hotels,,Adams mehmonxonalar,Адамс Марк отели
3682,Sahara Hotel and Casino,,Sahara mehmonxonasi va Casino,Отель и казино Sahara
3683,Bradbury Suites,,Bredberi Suites,Bradbury Suites
3684,Budget Hosts Inns,,Byudjet xostlari Inns,Бюджетные гостиницы
3685,Budgetel Inns,,Byudjet mollari,Бюджетные гостиницы
3686,Susse Chalet,,Sasse chalet,Сасс Шале
3687,Clarion Hotels,,Claron mehmonxonalari,Clarion Hotels
3688,Compri Hotels,,Ixtisotxonalar,Compri Hotels
3689,Consort Hotels,,Mehmonxonalar,Консортные отели
3690,Courtyard by Marriott,,Marriott hovli,Двор от Marriott
3691,Dillon Inn,,Dillon Inn,Dillon Inn
3692,Doubletree,,Dubletre,DoubleTree
3693,Drury Inn,,Drester Inn,Drury Inn
3694,Economy Inns of America,,Amerikaning iqtisodiyoti,Экономическая гостиница Америки
3695,Embassy Suites,,Elchixona to'plamlari,Пособные люксы
3696,Excel Inn,,Excel Inn,Excel Inn
3697,Fairfield Hotels,,Fairfield mehmonxonalari,Fairfield Hotels
3698,Harley Hotels,,Xarley mehmonxonalari,Harley Hotels
3699,Midway Motor Lodge,,Motorning dvigateli,Midway Motor Lodge
3700,Motel 6,,Motel 6,Мотель 6
3701,La Mansion Del Rio,,La mansion del rio,La Mansion del Rio
3702,Registry Hotels,,Ro'yxatdan o'tish mehmonxonalari,Реестр отелей
3703,Residence Inn,,Yashash joylari,Residence Inn
3704,Royce Hotels,,Royce mehmonxonalari,Royce Hotels
3705,Sandman Inn,,Sandman Inn,Sandman Inn
3706,Shilo Inn,,Shilo Inn,Shilo Inn
3707,Shoney's Inn,,Shoneyning mehmonxonasi,Shoney's Inn
3708,Virgin River Hotel and Casino,,Bokira daryosi mehmonxonasi va kazino,Отель и казино Virgin River
3709,Super 8 Motels,,Super 8 Motel,Super 8 Motels
3710,The Ritz-Carlton,,Ritz-Karlton,Ritz-Carlton
3711,Flag Inns (Australia),,Flagle Inns (Avstraliya),Flag Inns (Австралия)
3712,Buffalo Bill's Hotel and Casino,,Buffalo Bill mehmonxonasi va Casino,Отель и казино Буффало Билла
3713,Quality Pacific Hotel,,Tinch okeani mehmonxonasi,Качественный Pacific Hotel
3714,Four Seasons (Australia) Hotels,,To'rt fasl (Avstraliya) mehmonxonalari,Четыре сезона (Австралия) отели
3715,Fairfield Inn,,Fairfield Inn,Fairfield Inn
3716,Carlton Hotels,,Karlton mehmonxonalari,Карлтон отели
3717,City Lodge Hotels,,Shahar turkori mehmonxonalar,Городская ложа отелей
3718,Karos Hotels,,Karos mehmonxonalari,Карос отели
3719,Protea Hotels,,Protea mehmonxonalari,Протеа отели
3720,Southern Sun Hotels,,Janubiy Quyosh mehmonxonalari,Южные отели Солнца
3721,Conrad Hotels,,Konrad mehmonxonalar,Conrad Hotels
3722,Wyndham,,Xyndham,Уиндхэм
3723,Rica Hotels,,Rika mehmonxonalari,Рика отели
3724,Inter Nor Hotels,,"""Inter"" va mehmonxonalar",Интернет отелей
3725,Sea Pines Resort,,Dengiz qarag'aylari kurort,Sea Pines Resort
3726,Rio Suites,,Rio Suites,Rio Suites
3727,Broadmoor Hotel,,Broadmoor mehmonxonasi,Broadmoor Hotel
3728,Bally's Hotel and Casino,,Ballyning mehmonxonasi va kazino,Bally's Hotel и Casino
3729,John Ascuagas Nugget,,Jon Ass Assuagas Nugget,Джон Аскуагас Наггет
3730,MGM Grand Hotel,,Mgm grand mehmonxonasi,MGM Grand Hotel
3731,Harrahs Hotels and Casinos,,Xarralar mehmonxonalar va kazinolar,Harrahs Hotels and Casinos
3732,Opryland Hotel,,Oprylandning mehmonxonasi,Opryland Hotel
3733,Boca Raton Resort,,Boka Raton kurorti,Boca Raton Resort
3734,Harvey Bristol Hotels,,Xarvi Bristol mehmonxonalari,Харви Бристоль отели
3735,Masters Economy Inns,,Masterlar Iqtisodiyot Inns,Мастерская экономика гостиницы
3736,Colorado Belle Edgewater Resort,,Kolorado belle chekka suv kurort,Колорадо Belle Edgewater Resort
3737,Riviera Hotel and Casino,,Riviera mehmonxonasi va kazino,Riviera Hotel и Casino
3738,Tropicana Resort and Casino,,Tropicana kurort va kazino,Tropicana Resort и Casino
3739,Woodside Hotels and Resorts,,The Woodside mehmonxonalar va kurortlar,Вудсайд отели и курорты
3740,TownePlace Suites,,ShaharePlace Suites,Towneplace Suites
3741,Millennium Hotels,,Mingyillik mehmonxonalari,Отели тысячелетия
3742,Club Med,,Club Med,Клуб Мед
3743,Biltmore Hotel and Suites,,Biltmore mehmonxonasi va liboslar,Biltmore Hotel и Suites
3744,Carefree Resorts,,Carefri kurortlari,Беззаботные курорты
3745,St. Regis Hotel,,Sankt-regis mehmonxonasi,Отель St. Regis
3746,Eliot Hotels,,Eliot mehmonxonalari,Элиот отели
3747,Club Corp/Club Resorts,,Klublar korpusi / klub kurorti,Club Corp/Club Resorts
3748,Wellesley Inns,,Wellesley Inns,Wellesley Inns
3749,Beverly Hills Hotel,,Beverly Hills mehmonxonasi,Беверли -Хиллз отель
3750,Crowne Plaza Hotels,,Krene Plaza mehmonxonalari,Crowne Plaza Hotels
3751,Homewood Suites,,Uy qurish uchun sovutish uchun,Homewood Suites
3752,Peabody Hotels,,Peabod mehmonxonalari,Отели Пибоди
3753,Greenbriar Resorts,,Yashil Resorts,Greenbriar Resorts
3754,Amelia Island Plantation,,Amelia orollari plantatsiyasi,Плантация острова Амелия
3755,Homestead,,Uy,Усадьба
3756,Toyoko Inn,,TOYOKO ANT,Toyoko Inn
3757,Canyon Ranch,,Kanyon ranchosi,Каньон Ранчо
3758,Kahala Mandarin Oriental Hotel,,KA'ala Manarin Sharq mehmonxonasi,Kahala Mandarin Oriental Hotel
3759,Orchid at Mauna Lani,,Mauna Lani-da orkide,Орхидея в Мауна Лани
3760,Halekulani Hotel/Waikiki Parc,,Halekulani mehmonxonasi / Waikiki Parc,Halekulani Hotel/Waikiki Parc
3761,Primadonna Hotel and Casino,,Priadonna mehmonxonasi va kazino,Primadonna Hotel и Casino
3762,Whiskey Pete's Hotel and Casino,,Viski Pete mehmonxonasi va Casino,Виски отель Пита и казино
3763,Chateau Elan Winery and Resort,,Chatoue Elan Winerlik va kurort,Винодельня и курорт Chateau Elan
3764,Beau Rivage Hotel and Casino,,Beu Rive mehmonxonasi va Casino,Beau Rivage Hotel и казино
3765,Bellagio Hotel and Casino,,Belgio mehmonxonasi va kazino,Bellagio Hotel и Casino
3766,Fremont Hotel and Casino,,Fremint Hotel va Casino,Fremont Hotel и Casino
3767,Main Street Hotel and Casino,,Asosiy ko'cha mehmonxonasi va kazino,Отель и казино на главной улице
3768,Silver Star Hotel and Casino,,Kumush yulduz mehmonxonasi va kazino,Отель и казино Silver Star
3769,Stratosphere Hotel and Casino,,Stratosfera mehmonxonasi va kazino,Стратосферная отель и казино
3770,SpringHill Suites,,SpringHill Subites,Springhill Suites
3771,Caesars Hotel and Casino,,Qaysarlar mehmonxonasi va kazino,Caesars Hotel и Casino
3772,Nemacolin Woodlands,,Nemacoin o'rmonzorlari,Немаколиновые леса
3773,Venetian Resort Hotel and Casino,,Venetsiya kurort mehmonxonasi va kazino,Венецианский курортный отель и казино
3774,"New York, New York Hotel and Casino",,"Nyu-York, Nyu-York mehmonxonasi va Casino","Нью -Йорк, Нью -Йорк отель и казино"
3775,Sands Resort,,Qums kurort,Sands Resort
3776,Nevele Grande Resort and Country Club,,Nevele Grande kurort va mamlakat klubi,Nevele Grande Resort и Country Club
3777,Mandalay Bay Resort,,Manmalay Bay kurort,Mandalay Bay Resort
3778,Four Points Hotels,,To'rt ochko mehmonxonasi,Четыре очка отелей
3779,W Hotels,,Mehmonxonalar,W отели
3780,Disney Resorts,,Disney kurortlari,Disney Resorts
3781,Patricia Grand Resort Hotels,,Patrisiya Grand Resort mehmonxonalari,Патриция Grand Resort Hotels
3782,Rosen Hotels and Resorts,,Rozen mehmonxonalari va kurortlar,Розен отели и курорты
3783,Town and Country Resort & Convention Center,,Shahar va mamlakat kurort va anjuman markazi,Town и Country Resort & Convention Center
3784,First Hospitality Hotels,,Birinchi mehmondo'stlik mehmonxonalari,Первые гостеприимные отели
3785,Outrigger Hotels & Resorts,,Qo'llash moslamalari va kurortlar,Outgrigger Hotels & Resorts
3786,Ohana Hotels of Hawaii,,Ohana Gavayi mehmonxonalari,Отели Ohana of Hawaii
3787,Caribe Royale Resort Suites & Villas,,Karibal Royale Reorort Suites va Villas,Caribe Royale Resort Suites & Villas
3788,Ala Moana Hotel,,Ala Mana mehmonxonasi,Ala Moana Hotel
3789,Smugglers' Notch Resort,,SMUGLERS NOTCH kurort,Серджирс -курорт
3790,Raffles Hotels,,Raffler mehmonxonalari,Раффлс отели
3791,Staybridge Suites,,Qolish Suites,Staybridge Suites
3792,Claridge Casino Hotel,,Clarjidj Casino mehmonxonasi,Claridge Casino Hotel
3793,The Flamingo Hotels,,Flamingo mehmonxonalari,Отели Flamingo
3794,Grand Casino Hotels,,Grand Casino mehmonxonalari,Большой казино отели
3795,Paris Las Vegas Hotel,,Parij Las Vegas mehmonxonasi,Париж Лас -Вегас отель
3796,Peppermill Hotel Casino,,Peppermill Hotel Casino,Peppermill Hotel Casino
3797,Atlantic City Hilton,,Atlantika City Xilton,Атлантик -Сити Хилтон
3798,Embassy Vacation Resort,,Elchixona ta'til kursi,Пособие каникулы
3799,Hale Koa Hotel,,Hale Koa mehmonxonasi,Hale Koa Hotel
3800,Homestead Suites,,Uy uchun sovutish uchun,Усадьба
3801,Wilderness Hotel and Golf Resort,,Sahroda mehmonxona va golf kurorti,Dilderness Hotel и Golf Resort
3802,The Palace Hotel,,Palace mehmonxonasi,Palace Hotel
3803,The Wigwam Golf Resort and Spa,,WiGvam golf kurorti va spa,Wigwam Golf Resort и Spa
3804,The Diplomat Country Club and Spa,,Diplomat mamlakat klubi va Spa,Diplomat Country Club и Spa
3805,The Atlantic,,Atlantika,Атлантика
3806,Princeville Resort,,Prinevil kurorti,Принсвилльский курорт
3807,Element,,Element,Элемент
3808,LXR (Luxury Resorts),,LXR (hashamatli kurortlar),LXR (роскошные курорты)
3809,Settle Inn,,Joylashish,Settle Inn
3810,La Costa Resort,,La kosta kurorti,La Costa Resort
3811,Premier Inn,,Premer Inn,Premier Inn
3812,Hyatt Place,,Hyattning joyi,Hyatt Place
3813,Hotel Indigo,,Indigo mehmonxonasi,Отель Indigo
3814,The Roosevelt Hotel NY,,Ruzvelt Hotel Ny,The Roosevelt Hotel NY
3815,Holiday Inn Nickelodeon,,Ta'til inne tuleodeon,Holiday Inn Nickelodeon
3816,Home2 Suites by Hilton,,Uy2 Suites Hilton tomonidan,Home2 Suites от Hilton
3817,Affinia,,Tashviqot,Аффиния
3818,MainStay Suites,,Suites Suites,Основные люксы
3819,Oxford Suites,,Oksford Suiti,Оксфордские апартаменты
3820,Jumeirah Essex House,,Jumeirah Essex uyi,Jumeirah Essex House
3821,Caribe Royale,,Karibara Royale,Карибе Рояль
3823,Grand Sierra Resort,,Grand Sierra kurorti,Grand Sierra Resort
3824,Aria (Aria Resort and Casino),,ARIA (ARIA kurort va kazino),Ария (Aria Resort and Casino)
3825,Vdara (Vdara Hotel and Spa),,VDARA (vDAva mehmonxonasi va SPA),Vdara (Vdara Hotel и Spa)
3826,Autograph,,Dastxat,Автограф
3827,Galt House,,Galt uyi,Галт Хаус
3828,Cosmopolitan of Las Vegas,,Las-Vegasning kosmopoliti,Космополит из Лас -Вегаса
3829,Country Inn by Carlson,,Karlson tomonidan mamlakatxona,Country Inn от Carlson
3830,Park Plaza Hotel,,Park plaza mehmonxonasi,Park Plaza Hotel
3831,Waldorf,,Shaytonf,Вальдорф
3832,Curio Hotels,,Kurio mehmonxonalari,Curio Hotels
3833,Canopy Hotels,,Canopy mehmonxonalari,Отели навеса
3834,Baymont Inn and Suites,,Baymont Inn va Suites,Baymont Inn и Suites
3835,Dolce Hotels and Resorts,,Dolce mehmonxonalari va kurortlar,Dolce Hotels and Resorts
3836,Hawthorn Suites by Wyndham,,Wyndham tomonidan do'lana to'plamlari,Боярышник Suites от Wyndham
3837,Hoshino Resorts,,Xoshino kurortlari,Hoshino Resorts
3838,Kimpton Hotels,,Kimmton mehmonxonalari,Кимптон отели
3839,Kyoritsu Hotels,,Kiritsitsu mehmonxonalari,Kyoritsu Hotels
4011,Railroads; Freight,,Temir yo'llar; Yuk tashish,Железные дороги; Груз
4111,"Transportation: Suburban and Local Commuter Passenger, including Ferries",,"Tashish: shahar atrofi va mahalliy bir xilma-xil yo'lovchilar, shu jumladan parserlar","Транспорт: пригород и местный пассажир пригородных работ, включая паромы"
4112,Passenger Railways,,Yo'lovchi temir yo'llari,Пассажирские железные дороги
4119,Ambulance Services,,Tez yordam xizmati,Службы скорой помощи
4121,Limousines and Taxicabs,,Limuzinlar va taktikob,Лимузины и такси
4131,Bus Lines,,Avtobus chiziqlari,Автобусные линии
4214,"Motor Freight Carriers, Trucking: Local/Long Distance, Moving and Storage Companies, Local Delivery",,"Avtotransport yuk tashuvchilar, yuk mashinasi: Mahalliy / Shaharlar, harakatlanuvchi va saqlash kompaniyalari, mahalliy etkazib berish","Motor Freight Carriers, Atrucking: местные/большие расстояния, переезжи и хранение, местная доставка"
4215,"Courier Services: Air and Ground, Freight Forwarders",,"Kuryer xizmatlari: havo va zamin, yuk ekspeditorlari","Курьерские услуги: воздух и земля, экспедиторы."
4225,"Public Warehousing; Farm Products, Refrigerated Goods, Household Goods Storage",,"Ommaviy omborxona; Ferma mahsulotlari, sovutgichli tovarlar, uy-ro'zg'or buyumlari saqlash","Общественный склад; Сельскохозяйственные товары, охлажденные товары, хранение товаров для домашнего обихода"
4411,Cruise Lines,,Kruiz liniyalari,Круизные линии
4457,Boat Leases and Boat Rentals,,Qayiq ijarasi va qayiq ijarasi,Аренда на лодках и аренда лодок
4468,"Marinas, Marine Service/Supplies",,"Marinas, dengiz xizmati / materiallar","Марины, морские услуги/расходные материалы"
4511,"Air Carriers, Airlines: Not Elsewhere Classified",,"Aviakassalar, aviakompaniyalar: boshqa joyda tasniflangan emas","Авиаперевозчики, авиакомпании: не в других местах классифицируются"
4582,"Airports, Airport Terminals, Flying Fields",,"Aeroportlar, aeroport terminallari, uchuvchi maydonlar","Аэропорты, терминалы аэропортов, летающие поля"
4722,Travel Agencies and Tour Operators,,Sayyohlik agentliklari va turoperatorlari,Туристические агентства и туроператоры
4784,"Bridge and Road Fees, Tolls",,"Ko'prik va yo'l to'lovlari, pullar","Мостовые и дорожные сборы, платы за проезд"
4789,Transportation Services: not elsewhere classified,,Transport xizmatlari: boshqa joyda tasniflangan emas,Транспортные услуги: не в других местах классифицируется
4812,Telecommunication Equipment Including Telephone Sales,,"Telekommunikatsiya uskunalari, shu jumladan telefon sotish","Телекоммуникационное оборудование, включая продажи по телефону"
4813,Key-entry Telecom Merchant providing single local and long-distance phone calls using a central access number in a non-face-to-face environment using key entry,,"Kalit-kirish Telekom savdogarlari asosiy kirish orqali yuzma-yuz kirish raqamidan foydalanib, yuzma-yuz kirish raqamidan foydalanib, asosiy kirish raqamidan foydalanib, bitta mahalliy va shaharlararo telefon qo'ng'iroqlarini taqdim etadi","Ключевой телекоммуникационный продавец, предоставляющий отдельные локальные и дальние телефонные звонки с использованием центрального номера доступа в не лицо к лицу, используя запись ключа"
4814,Telecommunication Services including but not limited to prepaid phone services and recurring phone services,,"Telekommunikatsiya xizmatlari, shu jumladan Prepaid telefon xizmatlari va Takrorlanuvchi telefon xizmatlari bilan cheklanmaydi","Телекоммуникационные услуги, включая, но не ограничиваясь предоплаченными телефонными услугами и повторяющимися телефонными услугами"
4816,Computer Network/Information Services,,Kompyuter tarmog'i / Axborot xizmatlari,Компьютерная сеть/информационные службы
4821,Telegraph Services,,Telegraf xizmatlari,Телеграфские услуги
4829,Money Transfer,,Pul o'tkazmasi,Перевод денег
4899,"Cable, Satellite, and Other Pay Television and Radio Services",,"Kabel, yo'ldosh va boshqa to'lovlar televidenie va radio xizmatlari","Кабельные, спутниковые и другие платные телевизоры и радио"
4900,"Utilities: Electric, Gas, Heating Oil, Sanitary, Water",,"Kommunal xizmatlar: Elektr, gaz, isitish moyi, sanitariya, suv","Коммунальные услуги: электрический, газ, отопление нефти, санитария, вода"
5013,Motor Vehicle Supplies and New Parts,,Avtotransport vositalari va yangi qismlar,Поставки автомобилей и новые детали
5021,Office and Commercial Furniture,,Ofis va tijorat mebellari,Офисная и коммерческая мебель
5039,Construction Materials: not elsewhere classified,,Qurilish materiallari: boshqa joyda tasniflangan emas,Строительные материалы: не в других местах классифицируются
5044,"Office, Photographic, Photocopy, and Microfilm Equipment",,"Ofis, fotosurat, fotokopiya va mikrofilm uskunalari","Офис, фотографическая, фотокопия и микрофильмное оборудование"
5045,"Computers, Computer Peripheral Equipment, Software",,"Kompyuterlar, kompyuter periferik uskunalari, dasturiy ta'minot","Компьютеры, компьютерное периферийное оборудование, программное обеспечение"
5046,Commercial Equipment: not elsewhere classified,,Tijorat uskunalari: boshqa joyda tasniflangan,Коммерческое оборудование: не классифицируется в других местах
5047,Dental/Laboratory/Medical/Ophthalmic Hospital Equipment and Supplies,,Tish / laboratoriya / tibbiy / oftalmoyh kasalxonasi uskunalari va materiallari,Зубной/лабораторный/медицинский/офтальмологический больничный оборудование и расходные материалы
5051,Metal Service Centers and Offices,,Metall servis markazlari va ofislari,Металлические центры и офисы
5065,Electrical Parts and Equipment,,Elektr qismlari va uskunalari,Электрические детали и оборудование
5072,Hardware Equipment and Supplies,,Uskunalar va materiallar,Аппаратное оборудование и расходные материалы
5074,Plumbing and Heating Equipment,,Santexnika va isitish uskunalari,Сантехника и оборудование для отопления
5085,Industrial Supplies: not elsewhere classified,,Sanoat ta'minoti: boshqa joyda tasniflangan emas,Промышленные принадлежности: не в других местах классифицируются
5094,"Precious Stones and Metals, Watches and Jewelry",,"Qimmatbaho toshlar va metallar, soatlar va zargarlik buyumlari","Драгоценные камни и металлы, часы и украшения"
5099,Durable Goods: not elsewhere classified,,Bardoshli mahsulotlar: boshqa joyda tasniflangan emas,Прочный товар: не в других местах классифицируется
5111,"Stationery, Office Supplies, Printing and Writing Paper",,"Kantselyariya tovarlari, ofis materiallari, bosib chiqarish va yozish qog'ozi","Канцелярские товары, офисные принадлежности, печатная и писательская бумага"
5122,"Drugs, Drug Proprietors, and Druggists Sundries",,"Giyohvand moddalar, giyohvandlik vositalari va giyohvand moddalar sunmistikasi","Лекарства, владельцы лекарств и аптеки солнат"
5131,"Piece Goods, Notions, and Other Dry Goods",,"Buyumlar, tushunchalar va boshqa quruq mahsulotlar","Товары, представления и другие сухие товары"
5137,"Men's, Women's, and Children's Uniforms and Commercial Clothing",,"Erkaklar, ayollar va bolalar kiyimlari va tijorat kiyimlari","Мужская, женская и детская форма и коммерческая одежда"
5139,Commercial Footwear,,Tijorat poyafzallari,Коммерческая обувь
5169,Chemicals and Allied Products: not elsewhere classified,,Kimyoviy va ittifoq mahsulotlari: boshqa joyda tasniflangan emas,Химикаты и союзные продукты: не в других местах классифицируются
5172,Petroleum and Petroleum Products,,Neft va neft mahsulotlari,Нефтяная и нефтяная продукция
5192,"Books, Periodicals, and Newspapers",,"Kitoblar, davriy nashrlar va gazetalar","Книги, периодические издания и газеты"
5193,"Florists Supplies, Nursery Stock, and Flowers",,"Floristlar materiallari, bolalar bog'chasi va gullar","Флористы поставки, питомник и цветы"
5198,"Paints, Varnishes, and Supplies",,"Bo'yoqlar, laklar va materiallar","Краски, лаки и припасы"
5199,Nondurable Goods: not elsewhere classified,,Numbaqli mahsulotlar: boshqa joyda tasniflangan emas,Незуманенные товары: не в других местах классифицируются
5200,Home Supply Warehouse Stores,,Uy ta'minotining ombori do'konlari,Складские магазины на дому
5211,"Building Materials, Lumber Stores",,"Qurilish materiallari, yog'och do'konlari","Строительные материалы, магазины пиломатериалов"
5231,"Glass, Paint, Wallpaper Stores",,"Shisha, bo'yoq, devor qog'ozi do'konlari","Стекло, краска, магазины обоев"
5251,Hardware Stores,,Apparat do'konlari,Аппаратные магазины
5261,Lawn and Garden Supply Stores,,Maysazor va bog 'ta'minoti do'konlari,Магазины подачи газона и сада
5271,Mobile Home Dealers,,Mobil uy dilerlari,Дилеры мобильных домов
5300,Wholesale Clubs,,Ulgurji klublar,Оптовые клубы
5309,Duty Free Stores,,Bojsiz do'konlar,Duty Free Stores
5310,Discount Stores,,Chegir do'konlari,Дисконтные магазины
5311,Department Stores,,Kafedra do'konlari,Универмаги
