MCC,DESCRIPTION,DESCRIPTION_UZ,DESCRIPTION_RU
8042,Optometrists and ophthalmologists,Optometrorchilar va oftalmologlar,Оптометристы и офтальмологи
8043,"Opticians, optical goods and eyeglasses","Opitsitlar, optik buyumlar va ko'zoynaklar","Оптики, оптические товары и очки"
8049,Podiatrists and chiropodists,Podiatrlar va chiropodchilar,Подиатры и хироподисты
8050,Nursing and personal care facilities,Hamshiralik va shaxsiy parvarish qilish inshootlari,Устройства по уходу и личному уходу
8062,Hospitals,Kasalxonalar,Больницы
8071,Medical and dental laboratories,Tibbiy va stomatologik laboratoriyalar,Медицинские и стоматологические лаборатории
8099,Medical services and health practitioners - not elsewhere classified,Tibbiy xizmatlar va sog'liqni saqlash amaliyotchilari - boshqa joyda tasniflangan,Медицинские услуги и практикующие здравоохранения - не в других местах классифицируются
8111,Legal services and attorneys,Yuridik xizmatlar va advokatlar,Юридические услуги и адвокаты
8211,Elementary and secondary schools,Boshlang'ich va o'rta maktablar,Начальные и средние школы
8220,"Colleges, universities, professional schools and junior colleges","Kollejlar, universitetlar, professional maktablar va kichik kollejlar","Колледжи, университеты, профессиональные школы и младшие колледжи"
8241,Correspondence schools,Masoratsizlik maktablari,Переписка школ
8244,Business and secretarial schools,Biznes va kotibiyat maktablari,Бизнес и секретарские школы
8249,Trade and vocational schools,Savdo va kasb-hunar maktablari,Торговые и профессиональные школы
8299,Schools and educational services - not elsewhere classified,Maktablar va ta'lim xizmatlari - boshqa joylarda tasniflangan,Школы и образовательные услуги - ни в других местах классифицируются
8351,Child care services,Bolalar parvarishlari,Услуги по уходу за детьми
8641,"Civic, social and fraternal associations","Fuqarolik, ijtimoiy va qardosh uyushmalar","Гражданские, социальные и братские ассоциации"
8675,Automobile associations,Avtomobillar uyushmalari,Автомобильные ассоциации
8699,Membership organizations - not elsewhere classified,A'zolik tashkilotlari - boshqa joyda tasniflangan emas,Членские организации - не в других местах классифицируются
8734,Testing laboratories (non-medical),Sinov laboratoriyalari (tibbiy bo'lmagan),Тестирование лабораторий (немедицинские)
8911,"Architectural, engineering and surveying services","Arxitektura, muhandislik va suratga olish xizmatlari","Архитектурные, инженерные и геодезиционные услуги"
8931,"Accounting, auditing and bookkeeping services","Buxgalteriya, audit va buxgalteriya xizmatlari","Услуги бухгалтерского учета, аудита и бухгалтерского учета"
8999,Professional services - not elsewhere classified,Kasb xizmatlari - boshqa joyda tasniflangan emas,Профессиональные услуги - не в других местах классифицируются
9399,Government Services - not elsewhere classified,Davlat xizmatlari - boshqa joyda tasniflangan,Государственные услуги - не классифицированы в других местах
