STATE,RESIDENTIAL,GENDER,AGE,WEIGHT (kg),HEIGHT (cm),BMI (kg/m2),CLASS (BMI),POWER (cm),SPEED (sec),FLEXIBILITY (cm),COORDINATION (no.)
MELAKA,URBAN,F,7.1,26.3,119.4,18.4,OVERWEIGHT,83,5.54,25.5,3
MELAKA,URBAN,F,7.1,27,121,18.4,OVERWEIGHT,92,5.82,26.5,1
MELAKA,RURAL,F,7,20,114.5,15.3,NORMAL,50,5.6,29.5,2
MELAKA,RURAL,F,7,22,120,15.3,NORMAL,91,5.31,23,1
MELAKA,RURAL,F,7,20,122,13.4,NORMAL,83,5.85,27,1
MELAKA,RURAL,F,7,18,114,13.9,NORMAL,69,5.56,26.5,1
MELAKA,RURAL,F,7.1,24.05,126,15.1,NORMAL,64,6.67,28,1
MELAKA,URBAN,F,7.1,23.1,124.5,14.9,NORMAL,80,6.54,22,1
NEGERI SEMBILAN,RURAL,F,7,22.2,122,14.9,NORMAL,124,4.53,26,8
NEGERI SEMBILAN,URBAN,F,7.1,19.5,115,14.7,NORMAL,108,3,26,5
NEGERI SEMBILAN,URBAN,F,7.1,20,119,14.1,NORMAL,117,5.71,33,6
NEGERI SEMBILAN,URBAN,F,7,21.5,119.5,15.1,NORMAL,110,4.47,25,5
NEGERI SEMBILAN,URBAN,F,7,20.8,115.8,15.5,NORMAL,94,6.13,33,7
NEGERI SEMBILAN,URBAN,F,7.1,26,119,18.4,OVERWEIGHT,95,4.73,27,3
NEGERI SEMBILAN,URBAN,F,7,28.1,120.6,19.3,OVERWEIGHT,95,5.7,32.5,5
NEGERI SEMBILAN,RURAL,F,7,18,116,13.4,NORMAL,105,5.24,25,5
NEGERI SEMBILAN,URBAN,F,7,29.05,121,19.8,OBESITY,77,5.15,36,3
NEGERI SEMBILAN,URBAN,F,7,19,111,15.4,NORMAL,92,4.13,28,1
NEGERI SEMBILAN,URBAN,F,7.1,23.5,120.5,16.2,NORMAL,92,6.07,34,3
NEGERI SEMBILAN,RURAL,F,7,26.8,122,18,OVERWEIGHT,91,5.49,33.5,1
NEGERI SEMBILAN,URBAN,F,7.1,22,119,15.5,NORMAL,86,5,20,6
NEGERI SEMBILAN,URBAN,F,7.1,26.9,122.2,18,OVERWEIGHT,75,5.63,31,4
NEGERI SEMBILAN,URBAN,F,7,30,123,19.8,OBESITY,83,5.68,24.5,8
NEGERI SEMBILAN,URBAN,F,7,23,112,18.3,OVERWEIGHT,82,5.4,30,1
NEGERI SEMBILAN,URBAN,F,7.1,27,122.2,18.1,OVERWEIGHT,97,6.41,27,2
NEGERI SEMBILAN,URBAN,F,7.1,22.31,103,21,OBESITY,73,5.31,29,1
NEGERI SEMBILAN,RURAL,F,7.1,19.6,120,13.6,NORMAL,65,5.42,29,2
NEGERI SEMBILAN,URBAN,F,7,20,112,15.9,NORMAL,74,6.25,31,3
NEGERI SEMBILAN,URBAN,F,7.1,18,114,13.9,NORMAL,92,6.95,24,5
NEGERI SEMBILAN,RURAL,F,7.1,30.3,114,23.3,OBESITY,85,6.29,27.5,3
NEGERI SEMBILAN,RURAL,F,7.1,21,120,14.6,NORMAL,80,6.06,26.5,4
NEGERI SEMBILAN,RURAL,F,7.1,21,115,15.9,NORMAL,77,5.67,25,4
NEGERI SEMBILAN,RURAL,F,7,47,126,29.6,OBESITY,62,7.35,29.5,4
NEGERI SEMBILAN,RURAL,F,7,24,113,18.8,OVERWEIGHT,63,6,28,4
NEGERI SEMBILAN,RURAL,F,7.1,23,112.5,18.2,OVERWEIGHT,92,5.35,24,1
NEGERI SEMBILAN,URBAN,F,7,25,119,17.7,OVERWEIGHT,81,5,23,1
NEGERI SEMBILAN,URBAN,F,7.1,22,117,16.1,NORMAL,73,5.12,24.5,1
NEGERI SEMBILAN,RURAL,F,7.1,20.9,116,15.5,NORMAL,85,6.01,23,4
NEGERI SEMBILAN,URBAN,F,7.1,19.89,101,19.5,OVERWEIGHT,73,5.77,27,2
NEGERI SEMBILAN,URBAN,F,7.1,40,127,24.8,OBESITY,84,5.79,26,1
NEGERI SEMBILAN,RURAL,F,7.1,20,116,14.9,NORMAL,73,5.79,25,3
NEGERI SEMBILAN,URBAN,F,7.1,34,128,20.8,OBESITY,80,5.67,18,4
NEGERI SEMBILAN,RURAL,F,7,32,127,19.8,OBESITY,91,6.15,23,1
NEGERI SEMBILAN,URBAN,F,7.1,23.4,106,20.8,OBESITY,80,5.98,25,1
NEGERI SEMBILAN,URBAN,F,7,27,123.8,17.6,OVERWEIGHT,64,5.61,23,1
PAHANG,RURAL,F,7.1,22.5,118,16.2,NORMAL,106,3.18,35.5,7
PAHANG,RURAL,F,7.1,26.5,125,17,NORMAL,100,3.23,33,6
PAHANG,RURAL,F,7.1,18,110,14.9,NORMAL,104,4.67,32.5,7
PAHANG,RURAL,F,7.1,20,118,14.4,NORMAL,107,4.79,28.5,10
PAHANG,URBAN,F,7,20,113,15.7,NORMAL,101,5,28.5,8
PAHANG,URBAN,F,7.1,28,120.5,19.3,OVERWEIGHT,83,4.76,34.5,6
PAHANG,URBAN,F,7.1,20.11,122.1,13.5,NORMAL,105,4.54,28,3
PAHANG,RURAL,F,7.1,18,113,14.1,NORMAL,102,4.6,31.5,1
PAHANG,URBAN,F,7.1,14.5,111,11.8,THINNESS,106,4.79,29,2
PAHANG,URBAN,F,7.1,20,117,14.6,NORMAL,100,3.25,27,2
PAHANG,URBAN,F,7,19,108.5,16.1,NORMAL,94,5.29,30,6
PAHANG,URBAN,F,7.1,17,119.5,11.9,THINNESS,92,4.73,26,6
PAHANG,URBAN,F,7,29,128,17.7,OVERWEIGHT,88,5.7,36,7
PAHANG,URBAN,F,7.1,25.5,122.5,17,NORMAL,108,5.02,28,2
PAHANG,RURAL,F,7,20.9,118.1,15,NORMAL,97,4.87,34,1
PAHANG,RURAL,F,7.1,20,121,13.7,NORMAL,94,3.72,27,2
PAHANG,URBAN,F,7.1,16,113.5,12.4,THINNESS,115,5.24,32,1
PAHANG,URBAN,F,7.1,29,131,16.9,NORMAL,94,5.04,22,10
PAHANG,URBAN,F,7,20.11,116,14.9,NORMAL,88,4.98,30.5,3
PAHANG,URBAN,F,7.1,18,113,14.1,NORMAL,98,5.1,29.5,2
PAHANG,URBAN,F,7,31,119,21.9,OBESITY,91,4.87,24,7
PAHANG,URBAN,F,7.1,20.6,119,14.5,NORMAL,107,4.81,26.5,1
PAHANG,URBAN,F,7.1,17.5,114.5,13.3,NORMAL,93,4.62,27.5,2
PAHANG,RURAL,F,7.1,17,108,14.6,NORMAL,91,4.94,32,1
PAHANG,URBAN,F,7,22,114.5,16.8,NORMAL,83,4.9,33,2
PAHANG,URBAN,F,7.1,29,123.5,19,OVERWEIGHT,87,4.64,23.5,7
PAHANG,URBAN,F,7.1,16,109,13.5,NORMAL,88,5.28,27.5,7
PAHANG,URBAN,F,7,25.5,120,17.7,OVERWEIGHT,96,5.34,24,7
PAHANG,URBAN,F,7.1,19.5,122,13.1,NORMAL,76,5.08,29.5,5
PAHANG,RURAL,F,7.1,19.7,112,15.7,NORMAL,82,4.85,22,8
PAHANG,URBAN,F,7.1,20.15,128,12.3,THINNESS,80,4.81,27,4
PAHANG,URBAN,F,7,23,122,15.5,NORMAL,100,6,27,5
PAHANG,URBAN,F,7.1,18.7,116,13.9,NORMAL,103,7.42,23.5,8
PAHANG,URBAN,F,7,18.1,118,13,NORMAL,118,5.92,27.5,1
PAHANG,RURAL,F,7.1,16.93,112.1,13.5,NORMAL,77,4.85,12.5,9
PAHANG,URBAN,F,7,15,110,12.4,THINNESS,95,4.98,19.5,4
PAHANG,RURAL,F,7.1,24.5,112,19.5,OVERWEIGHT,93,4.92,27,1
PAHANG,RURAL,F,7.1,16,115,12.1,THINNESS,91,6.17,27,6
PAHANG,URBAN,F,7,24,120,16.7,NORMAL,96,5.23,26.5,1
PAHANG,URBAN,F,7,17,118,12.2,THINNESS,88,4.62,24,1
PAHANG,URBAN,F,7,20,117,14.6,NORMAL,87,5.6,19,10
PAHANG,URBAN,F,7,19,120,13.2,NORMAL,79,5.17,28,2
PAHANG,RURAL,F,7,20,122,13.4,NORMAL,91,5.1,25,1
PAHANG,URBAN,F,7.1,17.9,112,14.3,NORMAL,84,6.29,29.5,3
PAHANG,RURAL,F,7,16,108,13.7,NORMAL,81,5.54,30,1
PAHANG,URBAN,F,7.1,17.9,118,12.9,NORMAL,93,7.48,23.5,6
PAHANG,RURAL,F,7.1,18,117,13.1,NORMAL,79,5,21,3
PAHANG,URBAN,F,7.1,27,125,17.3,OVERWEIGHT,91,5.54,24,2
PAHANG,RURAL,F,7.1,19.4,111.2,15.7,NORMAL,81,5.46,29,1
PAHANG,RURAL,F,7.1,19,112,15.1,NORMAL,91,5.98,28.5,1
PAHANG,RURAL,F,7,21,116,15.6,NORMAL,101,5.6,24,1
PAHANG,RURAL,F,7.1,22,121.4,14.9,NORMAL,91,6.05,28,1
PAHANG,URBAN,F,7,47.01,122,31.6,OBESITY,83,4.98,16,1
PAHANG,RURAL,F,7.1,19,112,15.1,NORMAL,88,5.17,17.5,1
PAHANG,URBAN,F,7.1,20.03,119,14.1,NORMAL,59,6.37,23,7
PAHANG,RURAL,F,7.1,21.5,120.5,14.8,NORMAL,90,5.73,25.5,1
PAHANG,URBAN,F,7,24.7,128.3,15,NORMAL,62,6.1,31.5,1
PAHANG,URBAN,F,7,29,121,19.8,OBESITY,89,6.57,21.5,3
PAHANG,URBAN,F,7,19,119.4,13.3,NORMAL,82,5.46,25,1
PAHANG,URBAN,F,7.1,17,110,14,NORMAL,82,5.48,25,1
PAHANG,URBAN,F,7.1,22,129,13.2,NORMAL,88,5.56,23.5,1
PAHANG,URBAN,F,7.1,21,115,15.9,NORMAL,77,5.54,25.5,1
PAHANG,RURAL,F,7.1,19,120.5,13.1,NORMAL,74,5.04,17,1
PAHANG,RURAL,F,7.1,19.1,113.5,14.8,NORMAL,82,6.8,24,1
PAHANG,URBAN,F,7,22.6,118.5,16.1,NORMAL,68,5.78,12,2
PAHANG,RURAL,F,7.1,17,110,14,NORMAL,70,5.78,19,1
PAHANG,RURAL,F,7.1,19,111,15.4,NORMAL,60,5.91,18,1
PERAK,RURAL,F,7,19,123,12.6,THINNESS,100,4.58,33,8
PERAK,RURAL,F,7.1,18.3,114.5,14,NORMAL,101,4.42,27.5,9
PERAK,URBAN,F,7.1,20,112,15.9,NORMAL,120,4.97,26,10
PERAK,RURAL,F,7,22.1,120.5,15.2,NORMAL,121,4.18,22,10
PERAK,URBAN,F,7.1,24,126,15.1,NORMAL,112,4.67,30,3
PERAK,RURAL,F,7,20,118,14.4,NORMAL,95,4.91,28,8
PERAK,URBAN,F,7,36,126,22.7,OBESITY,105,4.94,28,5
PERAK,RURAL,F,7,18,118,12.9,NORMAL,108,4.79,33,1
PERAK,RURAL,F,7,21,121,14.3,NORMAL,100,5.5,30.5,8
PERAK,URBAN,F,7,25,116,18.6,OVERWEIGHT,113,5.51,27,10
PERAK,URBAN,F,7,24,121,16.4,NORMAL,104,4.23,29.5,1
PERAK,URBAN,F,7.1,24,126,15.1,NORMAL,96,5.21,30,6
PERAK,URBAN,F,7.1,16,108,13.7,NORMAL,103,3.54,26,2
PERAK,RURAL,F,7,17,112,13.6,NORMAL,94,4.82,26,6
PERAK,URBAN,F,7,17,110,14,NORMAL,72,4.25,32,4
PERAK,URBAN,F,7.1,18.9,116,14,NORMAL,95,4.73,26.5,4
PERAK,RURAL,F,7.1,22,116,16.3,NORMAL,101,4.67,27,2
PERAK,RURAL,F,7,16.9,112.2,13.4,NORMAL,114,4.87,27,1
PERAK,RURAL,F,7.1,17.9,116,13.3,NORMAL,106,5.5,30,3
PERAK,URBAN,F,7,21,118,15.1,NORMAL,118,5.6,26,5
PERAK,RURAL,F,7.1,21,120.5,14.5,NORMAL,96,5.08,28,3
PERAK,RURAL,F,7.1,17,114,13.1,NORMAL,100,4.72,22,4
PERAK,RURAL,F,7,40,127,24.8,OBESITY,82,5.45,32,6
PERAK,RURAL,F,7,19,113,14.9,NORMAL,113,6.1,33,2
PERAK,RURAL,F,7.1,20,115,15.1,NORMAL,93,5.23,28,4
PERAK,RURAL,F,7.1,19.5,113.5,15.1,NORMAL,111,5.54,28,2
PERAK,URBAN,F,7.1,22,119,15.5,NORMAL,107,5.48,32,1
PERAK,RURAL,F,7,24.5,114,18.9,OVERWEIGHT,81,4.64,28,2
PERAK,RURAL,F,7.1,15,111,12.2,THINNESS,89,5.03,24,5
PERAK,URBAN,F,7.1,15,114,11.5,SEVERE THINNESS,91,5.17,23.5,5
PERAK,RURAL,F,7.1,25.2,123.5,16.5,NORMAL,85,5.84,26.5,8
PERAK,RURAL,F,7,37,133,20.9,OBESITY,89,5.04,28,1
PERAK,URBAN,F,7.1,20,117,14.6,NORMAL,91,5.65,26,5
PERAK,RURAL,F,7.1,17.5,110.1,14.4,NORMAL,75,5.23,32,2
PERAK,URBAN,F,7.1,24,128,14.6,NORMAL,96,5.92,29,2
PERAK,RURAL,F,7.1,22.07,124,14.4,NORMAL,93,4.9,26,1
PERAK,RURAL,F,7.1,22,124,14.3,NORMAL,107,5.79,21,5
PERAK,RURAL,F,7,21.5,124.5,13.9,NORMAL,112,5.4,19,3
PERAK,URBAN,F,7.1,18,117,13.1,NORMAL,104,6.16,22,6
PERAK,URBAN,F,7,18,121,12.3,THINNESS,65,5,28,3
PERAK,URBAN,F,7.1,17,122,11.4,SEVERE THINNESS,85,5,13,6
PERAK,RURAL,F,7,20.5,117,15,NORMAL,104,5.68,26.5,1
PERAK,RURAL,F,7.1,20,121,13.7,NORMAL,85,5.5,29,2
PERAK,RURAL,F,7.1,35.9,118.8,25.4,OBESITY,85,6.3,35,2
PERAK,RURAL,F,7.1,18,113,14.1,NORMAL,82,6.38,27,7
PERAK,RURAL,F,7.1,20,114,15.4,NORMAL,79,5.53,28.5,3
PERAK,URBAN,F,7.1,35,128,21.4,OBESITY,78,5.98,26,7
PERAK,URBAN,F,7.1,18.5,120,12.8,NORMAL,94,5.73,27.5,1
PERAK,RURAL,F,7.1,20,125,12.8,NORMAL,87,5.39,29,1
PERAK,URBAN,F,7,18.5,115,14,NORMAL,94,6.31,22,6
PERAK,URBAN,F,7,22,117,16.1,NORMAL,70,5.75,30,3
PERAK,URBAN,F,7,19,116,14.1,NORMAL,103,6.48,28,1
PERAK,RURAL,F,7.1,30.4,116,22.6,OBESITY,83,5.59,21.5,6
PERAK,URBAN,F,7,20,121,13.7,NORMAL,74,5.54,17.5,9
PERAK,URBAN,F,7,25,125,16,NORMAL,60,5.94,26,7
PERAK,RURAL,F,7,15.9,106.5,14,NORMAL,76,5.59,25,4
PERAK,RURAL,F,7,19,121,13,NORMAL,66,6.4,28,5
PERAK,URBAN,F,7.1,21,117,15.3,NORMAL,97,5.18,17.5,1
PERAK,URBAN,F,7.1,20,119,14.1,NORMAL,68,6.12,20,10
PERAK,RURAL,F,7.1,25,122,16.8,NORMAL,78,5.29,24,1
PERAK,URBAN,F,7,20.2,111.5,16.2,NORMAL,78,6.23,23,5
PERAK,RURAL,F,7.1,25,117,18.3,OVERWEIGHT,96,5.72,19,1
PERAK,URBAN,F,7,16,120,11.1,SEVERE THINNESS,86,5.35,20,1
PERAK,RURAL,F,7,22,117,16.1,NORMAL,71,5.4,27,1
PERAK,RURAL,F,7.1,19,112,15.1,NORMAL,75,6.04,21.5,5
PERAK,RURAL,F,7.1,22.8,120,15.8,NORMAL,57,5.23,21.5,2
PERAK,URBAN,F,7,26,123,17.2,NORMAL,74,5.6,22,2
PERAK,RURAL,F,7,24,122.5,16,NORMAL,75,5.59,25.5,1
PERAK,RURAL,F,7.1,22.3,120,15.5,NORMAL,79,5.76,23,1
PERAK,URBAN,F,7.1,16,112.5,12.6,THINNESS,77,7.25,28,1
PERAK,URBAN,F,7.1,20,116,14.9,NORMAL,80,6.15,12,2
PERAK,URBAN,F,7,20.02,122.5,13.3,NORMAL,83,6.09,13.5,1
PERLIS,RURAL,F,7.1,19.8,114,15.2,NORMAL,101,5.35,28.5,5
PERLIS,RURAL,F,7,21.7,118,15.6,NORMAL,89,5.23,29,5
PERLIS,RURAL,F,7,16.9,106,15,NORMAL,78,5.09,27.5,4
PERLIS,RURAL,F,7.1,16.7,112,13.3,NORMAL,83,5.01,22,4
PERLIS,URBAN,F,7.1,24.5,119,17.3,OVERWEIGHT,78,5.46,29,2
PERLIS,RURAL,F,7,18.5,115,14,NORMAL,83,6.6,24.5,4
PERLIS,RURAL,F,7.1,16.4,108,14.1,NORMAL,75,6.1,25,1
PERLIS,RURAL,F,7,16.2,108.4,13.8,NORMAL,75,5.75,20.5,1
PULAU PINANG,URBAN,F,7.1,31,120,21.5,OBESITY,102,4.42,30,6
PULAU PINANG,URBAN,F,7.1,24.5,123,16.2,NORMAL,93,4.85,37.5,5
PULAU PINANG,URBAN,F,7.1,18,118.5,12.8,NORMAL,104,4.82,29,6
PULAU PINANG,URBAN,F,7.1,17,121,11.6,SEVERE THINNESS,106,5.54,32,8
PULAU PINANG,RURAL,F,7.1,32,125.5,20.3,OBESITY,99,5.54,37.5,5
PULAU PINANG,RURAL,F,7.1,28,126,17.6,OVERWEIGHT,104,5.23,26.5,8
PULAU PINANG,URBAN,F,7,19,111.5,15.3,NORMAL,80,4.64,38,3
PULAU PINANG,URBAN,F,7,17,112,13.6,NORMAL,89,4.34,31.5,2
PULAU PINANG,URBAN,F,7.1,23,126,14.5,NORMAL,101,4.67,29,1
PULAU PINANG,URBAN,F,7,23,120,16,NORMAL,96,4.92,37,1
PULAU PINANG,URBAN,F,7,23,113,18,OVERWEIGHT,92,4.1,32.5,1
PULAU PINANG,RURAL,F,7.1,19,118,13.6,NORMAL,96,4.84,32,1
PULAU PINANG,RURAL,F,7,26,122,17.5,OVERWEIGHT,91,4.93,31,1
PULAU PINANG,RURAL,F,7,35,135,19.2,OVERWEIGHT,89,6.12,34,7
PULAU PINANG,RURAL,F,7.1,36,124,23.4,OBESITY,74,5.23,30.5,8
PULAU PINANG,URBAN,F,7.1,21,120.5,14.5,NORMAL,96,5.04,30,1
PULAU PINANG,URBAN,F,7,23.1,125.9,14.6,NORMAL,89,5.04,32.5,1
PULAU PINANG,URBAN,F,7.1,19,118,13.6,NORMAL,73,5.05,32.5,4
PULAU PINANG,RURAL,F,7,18,117,13.1,NORMAL,88,5.28,30,3
PULAU PINANG,URBAN,F,7.1,17.6,120.8,12.1,THINNESS,97,5.41,25.5,5
PULAU PINANG,URBAN,F,7.1,17,114,13.1,NORMAL,102,4.9,27.5,1
PULAU PINANG,RURAL,F,7,19.05,112,15.2,NORMAL,98,5,26.5,1
PULAU PINANG,RURAL,F,7,22,125,14.1,NORMAL,70,4.9,27,6
PULAU PINANG,URBAN,F,7.1,18,111,14.6,NORMAL,92,5.18,22.5,4
PULAU PINANG,URBAN,F,7,18,110,14.9,NORMAL,77,5.48,28.5,5
PULAU PINANG,RURAL,F,7.1,21,125,13.4,NORMAL,76,5.28,29,3
PULAU PINANG,URBAN,F,7.1,22,116.5,16.2,NORMAL,100,6.42,28,3
PULAU PINANG,URBAN,F,7.1,20,111,16.2,NORMAL,77,4.94,20,7
PULAU PINANG,URBAN,F,7.1,16.5,111,13.4,NORMAL,86,4.85,27.5,1
PULAU PINANG,RURAL,F,7.1,18,114,13.9,NORMAL,105,5.42,18,3
PULAU PINANG,RURAL,F,7.1,20.5,123,13.6,NORMAL,80,6.06,28.5,6
PULAU PINANG,RURAL,F,7.1,21,123,13.9,NORMAL,87,5.06,24,2
PULAU PINANG,RURAL,F,7.1,19,119,13.4,NORMAL,96,5.28,25,1
PULAU PINANG,URBAN,F,7,21.5,122.5,14.3,NORMAL,91,5.1,27,1
PULAU PINANG,RURAL,F,7.1,19,122.5,12.7,NORMAL,90,5.92,30.5,1
PULAU PINANG,URBAN,F,7,19,117,13.9,NORMAL,93,5.6,18,6
PULAU PINANG,RURAL,F,7,24,124,15.6,NORMAL,84,5.75,22,9
PULAU PINANG,URBAN,F,7.1,22,118.5,15.7,NORMAL,96,5.1,24,1
PULAU PINANG,RURAL,F,7,21,121.5,14.2,NORMAL,88,5.23,27.5,1
PULAU PINANG,URBAN,F,7,18.1,119,12.8,NORMAL,90,5.65,23,4
PULAU PINANG,RURAL,F,7.1,16,110,13.2,NORMAL,77,4.85,27.5,1
PULAU PINANG,RURAL,F,7,18,117,13.1,NORMAL,93,5.78,23,3
PULAU PINANG,URBAN,F,7.1,19,117,13.9,NORMAL,93,6.1,18,6
PULAU PINANG,RURAL,F,7,20,115.5,15,NORMAL,73,6.94,31,3
PULAU PINANG,RURAL,F,7,18,111,14.6,NORMAL,68,5.76,27.5,4
PULAU PINANG,URBAN,F,7,17.7,118.5,12.6,THINNESS,86,5.04,16,1
PULAU PINANG,URBAN,F,7,18,114.6,13.7,NORMAL,96,6.23,25,1
PULAU PINANG,URBAN,F,7.1,16.5,112.5,13,NORMAL,87,5.75,27.5,1
PULAU PINANG,RURAL,F,7.1,17,119,12,THINNESS,86,6.04,23.5,3
PULAU PINANG,URBAN,F,7.1,23,123.4,15.1,NORMAL,100,5.85,24,1
PULAU PINANG,RURAL,F,7,16,109,13.5,NORMAL,83,6.06,20,5
PULAU PINANG,RURAL,F,7,11,108,9.4,SEVERE THINNESS,83,5.84,24,2
PULAU PINANG,URBAN,F,7,29,131,16.9,NORMAL,68,5.32,26,1
PULAU PINANG,RURAL,F,7.1,21,121,14.3,NORMAL,90,5.42,22,1
PULAU PINANG,RURAL,F,7,24.1,120.9,16.5,NORMAL,89,6,26.5,1
PULAU PINANG,URBAN,F,7.1,19.9,115.9,14.8,NORMAL,69,5.44,28.5,1
PULAU PINANG,RURAL,F,7.1,14,109,11.8,THINNESS,83,5.48,25,1
PULAU PINANG,RURAL,F,7.1,21,119,14.8,NORMAL,73,5.53,25.5,1
PULAU PINANG,RURAL,F,7.1,21,117,15.3,NORMAL,72,5.76,23,3
PULAU PINANG,RURAL,F,7.1,17.5,109.5,14.6,NORMAL,78,5.54,20,2
PULAU PINANG,URBAN,F,7.1,18,114.5,13.7,NORMAL,73,5.46,25.5,1
PULAU PINANG,URBAN,F,7.1,35,129,21,OBESITY,70,6.54,28,1
PULAU PINANG,URBAN,F,7,32,128,19.5,OVERWEIGHT,79,5.92,25,1
PULAU PINANG,RURAL,F,7.1,22,122.5,14.7,NORMAL,74,6.04,23,1
PULAU PINANG,URBAN,F,7.1,21.5,129,12.9,NORMAL,65,7.23,28,1
PULAU PINANG,RURAL,F,7.1,20,116,14.9,NORMAL,65,6.21,25,1
PULAU PINANG,RURAL,F,7.1,20,114.5,15.3,NORMAL,61,6.73,25,1
PUTRAJAYA,URBAN,F,7.1,20.6,123.5,13.5,NORMAL,87,4.92,25,4
PUTRAJAYA,URBAN,F,7,20.4,120,14.2,NORMAL,116,4.85,20,1
PUTRAJAYA,URBAN,F,7.1,18,111,14.6,NORMAL,88,5.47,30.5,1
PUTRAJAYA,URBAN,F,7.1,16.9,110,14,NORMAL,95,6.14,26.5,2
PUTRAJAYA,URBAN,F,7.1,23.9,123.4,15.7,NORMAL,75,4.77,23.5,1
PUTRAJAYA,URBAN,F,7,19.7,116,14.6,NORMAL,79,5.5,24.5,1
PUTRAJAYA,URBAN,F,7,18.2,116.5,13.4,NORMAL,81,6.35,26,1
SABAH,RURAL,F,7,19.2,118,13.8,NORMAL,123,4.45,34,9
SABAH,RURAL,F,7.1,21,120,14.6,NORMAL,119,4.66,30,8
SABAH,URBAN,F,7.1,33.6,124,21.9,OBESITY,120,4.68,30.5,7
SABAH,RURAL,F,7.1,19.4,113.5,15.1,NORMAL,114,4.76,30,8
SABAH,RURAL,F,7.1,24.5,119,17.3,OVERWEIGHT,128,4.74,32,4
SABAH,RURAL,F,7.1,19,119,13.4,NORMAL,116,4.73,29,7
SABAH,RURAL,F,7,17.5,111,14.2,NORMAL,132,5,28,10
SABAH,RURAL,F,7.1,17.8,114,13.7,NORMAL,115,4.49,35,2
SABAH,URBAN,F,7.1,27,122,18.1,OVERWEIGHT,114,5,32,6
SABAH,RURAL,F,7.1,16.3,110,13.5,NORMAL,111,4.58,28,6
SABAH,RURAL,F,7,17.2,114.5,13.1,NORMAL,118,4.78,32,3
SABAH,RURAL,F,7.1,17.9,106,15.9,NORMAL,160,4.3,26.5,4
SABAH,URBAN,F,7.1,19.5,117,14.2,NORMAL,121,5,29,6
SABAH,RURAL,F,7,26,119,18.4,OVERWEIGHT,107,5.17,35,6
SABAH,RURAL,F,7,19.6,111.8,15.7,NORMAL,96,4.83,35,5
SABAH,RURAL,F,7,19.5,117,14.2,NORMAL,90,4.87,36.5,7
SABAH,URBAN,F,7.1,18,114,13.9,NORMAL,108,4.89,31,4
SABAH,RURAL,F,7.1,26.5,123,17.5,OVERWEIGHT,94,4.46,34,3
SABAH,RURAL,F,7,20.7,116,15.4,NORMAL,112,4.4,24,6
SABAH,RURAL,F,7.1,24,120,16.7,NORMAL,109,5.2,32,5
SABAH,URBAN,F,7.1,28,119,19.8,OBESITY,99,4.17,30,3
SABAH,RURAL,F,7,19.9,120,13.8,NORMAL,134,5.2,28,5
SABAH,RURAL,F,7.1,23,119,16.2,NORMAL,120,5.31,32,3
SABAH,RURAL,F,7,22.5,121,15.4,NORMAL,107,5.69,32,7
SABAH,RURAL,F,7,19.5,117,14.2,NORMAL,129,5.18,33.5,1
SABAH,RURAL,F,7.1,19,117,13.9,NORMAL,104,4.91,27,6
SABAH,RURAL,F,7,22,124.5,14.2,NORMAL,145,4.7,26,2
SABAH,RURAL,F,7,18.6,115,14.1,NORMAL,115,5.06,28,4
SABAH,RURAL,F,7,25.5,118,18.3,OVERWEIGHT,102,4.97,33,2
SABAH,URBAN,F,7.1,20,115,15.1,NORMAL,101,5.25,30.5,5
SABAH,RURAL,F,7,22,121,15,NORMAL,101,4,27,2
SABAH,RURAL,F,7.1,21,120,14.6,NORMAL,114,4.72,30,1
SABAH,URBAN,F,7,25.6,121,17.5,OVERWEIGHT,110,5.34,26,8
SABAH,RURAL,F,7.1,15,106,13.3,NORMAL,104,5.28,28,6
SABAH,RURAL,F,7.1,16.6,107.7,14.3,NORMAL,102,5,29.5,3
SABAH,URBAN,F,7,15.2,113,11.9,THINNESS,117,5.12,22.5,7
SABAH,RURAL,F,7.1,25,125,16,NORMAL,98,5.62,29,10
SABAH,RURAL,F,7.1,25.9,120,18,OVERWEIGHT,110,4.35,24.5,2
SABAH,URBAN,F,7.1,19.8,117,14.5,NORMAL,91,4.98,28,6
SABAH,URBAN,F,7,20.7,114,15.9,NORMAL,94,4.89,35,1
SABAH,URBAN,F,7,22,126,13.9,NORMAL,112,5,29,1
SABAH,RURAL,F,7,17.5,115.2,13.2,NORMAL,74,5.23,31,7
SABAH,RURAL,F,7.1,31.5,112,25.1,OBESITY,82,5.56,30,8
SABAH,RURAL,F,7.1,25.4,121,17.3,OVERWEIGHT,106,4.71,27,1
SABAH,RURAL,F,7.1,16.8,109,14.1,NORMAL,82,4.4,28,2
SABAH,URBAN,F,7.1,33,128,20.1,OBESITY,114,5.64,30,1
SABAH,URBAN,F,7.1,18.9,114,14.5,NORMAL,93,5.64,33,3
SABAH,URBAN,F,7,33,133,18.7,OVERWEIGHT,81,4,28.5,1
SABAH,RURAL,F,7.1,17.4,114.5,13.3,NORMAL,97,4.93,26.5,2
SABAH,URBAN,F,7,21.3,122,14.3,NORMAL,80,5.19,32,3
SABAH,RURAL,F,7.1,23.1,118.5,16.5,NORMAL,86,5.49,28,7
SABAH,RURAL,F,7.1,17,107.3,14.8,NORMAL,103,5.18,25,3
SABAH,URBAN,F,7.1,25,118,18,OVERWEIGHT,94,5.87,35,2
